成交日期,成交时间,证券代码,证券名称,操作,成交数量,成交编号,成交均价,成交金额,余额,发生金额,手续费,印花税,其他杂费,本次金额,合同编号,交易市场,定位串,市场代码,
20250822,14:37:11,002456,欧菲光,证券卖出,3200,105000068889806,13.2200,42304.000,0,42156.980,123.150,21.150,2.720,96264.400,CL10007770,深圳Ａ股,20250822!538351,1,
20250815,13:35:31,002736,国信证券,证券卖出,2300,105000055728176,14.3030,32896.000,0,32781.670,95.770,16.450,2.110,37655.160,CL10005740,深圳Ａ股,20250815!522448,1,
20250815,13:36:42,002614,奥佳华,证券卖出,3800,101000053178440,6.9200,26296.000,0,26204.610,76.550,13.150,1.690,63859.770,CL10005770,深圳Ａ股,20250815!522449,1,
20260519,13:26:15,002897,意华股份,证券买入,3000,102000059234235,71.5000,214500.000,3000,-214578.040,64.350,0.000,13.690,3105.850,CL10005282,深圳Ａ股,20260519!515724,1,
20260119,09:25:00,600580,卧龙电驱,证券买入,4400,220509,48.0000,211200.000,4400,-211276.890,63.360,0.000,13.530,3477.250,1390000236,上海Ａ股,20260119!536041,2,
20260116,13:08:12,601138,XD工业富,证券卖出,3300,51948429,62.9400,207702.000,0,207522.510,62.310,103.850,13.330,214971.940,1390004567,上海Ａ股,20260116!595997,2,
20260122,10:18:08,600580,卧龙电驱,证券卖出,4400,27746109,47.0300,206932.000,0,206753.250,62.080,103.440,13.230,210230.500,1390004019,上海Ａ股,20260122!481149,2,
20260507,11:10:40,603688,石英股份,证券卖出,3200,43730208,63.3200,202624.000,0,202448.910,60.790,101.310,12.990,205707.830,1390003268,上海Ａ股,20260507!603462,2,
20260115,14:24:16,601138,工业富联,证券买入,3300,62683634,60.9630,201178.000,3300,-201251.230,60.350,0.000,12.880,6360.430,1390004651,上海Ａ股,20260115!676617,2,
20250821,14:14:42,002456,欧菲光,证券买入,1600,101000066685289,12.7100,20336.000,3200,-20396.500,59.200,0.000,1.300,44107.420,CL10007348,深圳Ａ股,20250821!533284,1,
20250821,14:23:47,002456,欧菲光,证券买入,1600,101000068979669,12.7000,20320.000,1600,-20380.460,59.160,0.000,1.300,64503.920,CL10007164,深圳Ａ股,20250821!533283,1,
20260306,10:32:56,600759,洲际油气,证券买入,23700,28219804,8.1000,191963.000,23700,-192032.910,57.590,0.000,12.320,110.700,1390002148,上海Ａ股,20260306!522093,2,
20260331,10:12:28,600528,中铁工业,证券买入,20300,22971714,9.1700,186151.000,20300,-186218.780,55.850,0.000,11.930,756.260,1390001909,上海Ａ股,20260331!437135,2,
20251229,11:01:03,603259,药明康德,证券卖出,2000,32104319,92.4400,184880.000,0,184720.270,55.460,92.430,11.840,185271.180,1390002130,上海Ａ股,20251229!434064,2,
