ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000759.SZ,20260123,7.61,7.68,7.6,7.66,7.64,0.02,0.2618,296098.87,226374.108
000759.SZ,20260122,7.69,7.74,7.6,7.64,7.68,-0.04,-0.5208,304144.13,232329.49
000759.SZ,20260121,7.8,7.86,7.64,7.68,7.87,-0.19,-2.4142,376539.44,289952.243
000759.SZ,20260120,7.84,7.99,7.78,7.87,7.87,0.0,0.0,460198.43,362562.844
000759.SZ,20260119,7.6,7.88,7.58,7.87,7.68,0.19,2.474,436623.01,340211.22
000759.SZ,20260116,7.8,7.85,7.62,7.68,7.8,-0.12,-1.5385,469474.0,362150.011
000759.SZ,20260115,7.89,8.16,7.78,7.8,7.88,-0.08,-1.0152,646312.01,513748.906
000759.SZ,20260114,7.76,8.02,7.72,7.88,7.93,-0.05,-0.6305,684279.39,538794.108
000759.SZ,20260113,8.24,8.42,7.88,7.93,8.3,-0.37,-4.4578,949955.16,772801.979
000759.SZ,20260112,8.15,8.38,7.98,8.3,8.19,0.11,1.3431,1009484.62,825585.785
000759.SZ,20260109,7.76,8.2,7.76,8.19,7.87,0.32,4.0661,1061942.12,857137.703
000759.SZ,20260108,7.7,8.05,7.61,7.87,7.77,0.1,1.287,865226.54,673358.943
000759.SZ,20260107,7.76,7.92,7.67,7.77,7.85,-0.08,-1.0191,641714.33,500824.278
000759.SZ,20260106,7.6,7.94,7.58,7.85,7.65,0.2,2.6144,795856.0,617876.364
000759.SZ,20260105,7.51,7.68,7.49,7.65,7.58,0.07,0.9235,541126.0,411967.598
000759.SZ,20251231,7.86,7.89,7.57,7.58,7.75,-0.17,-2.1935,593299.59,453464.616
000759.SZ,20251230,7.93,7.94,7.64,7.75,8.11,-0.36,-4.439,983652.0,765356.975
000759.SZ,20251229,8.56,8.75,8.05,8.11,8.35,-0.24,-2.8743,1186783.44,985013.737
000759.SZ,20251226,8.51,8.75,8.28,8.35,8.51,-0.16,-1.8801,1309211.04,1107105.697
000759.SZ,20251225,8.84,9.04,8.45,8.51,8.79,-0.28,-3.1854,1738309.75,1505881.237
000759.SZ,20251224,8.8,9.5,8.77,8.79,8.91,-0.12,-1.3468,2450763.74,2237624.021
000759.SZ,20251223,8.0,8.91,7.77,8.91,8.1,0.81,10.0,1910771.58,1614760.351
000759.SZ,20251222,8.17,8.3,7.96,8.1,8.22,-0.12,-1.4599,1197052.01,966573.771
000759.SZ,20251219,7.9,8.36,7.74,8.22,7.94,0.28,3.5264,1564206.21,1270641.437
000759.SZ,20251218,7.71,8.2,7.49,7.94,7.67,0.27,3.5202,1391632.68,1103161.295
000759.SZ,20251217,7.84,8.11,7.52,7.67,7.82,-0.15,-1.9182,1228251.33,958045.756
000759.SZ,20251216,7.53,8.06,7.53,7.82,7.54,0.28,3.7135,1273008.93,1002260.111
000759.SZ,20251215,7.4,7.88,7.33,7.54,7.25,0.29,4.0,1124232.14,848428.386
000759.SZ,20251212,7.4,7.43,7.15,7.25,7.74,-0.49,-6.3307,1046713.61,761581.082
000759.SZ,20251211,8.2,8.27,7.64,7.74,8.49,-0.75,-8.8339,1773469.58,1392152.284
000759.SZ,20251210,8.02,8.49,7.9,8.49,7.72,0.77,9.9741,2066597.86,1723418.93
000759.SZ,20251209,7.36,7.85,7.36,7.72,7.35,0.37,5.034,1010708.27,772802.05
000759.SZ,20251208,7.1,7.44,7.1,7.35,7.12,0.23,3.2303,464113.26,337276.665
000759.SZ,20251205,7.06,7.19,6.95,7.12,7.16,-0.04,-0.5587,423131.0,300351.27
000759.SZ,20251204,7.38,7.39,7.16,7.16,7.38,-0.22,-2.981,360704.04,261566.856
000759.SZ,20251203,7.6,7.62,7.35,7.38,7.64,-0.26,-3.4031,384107.0,285006.531
000759.SZ,20251202,7.6,7.74,7.51,7.64,7.64,0.0,0.0,507034.0,386103.268
000759.SZ,20251201,7.5,7.74,7.48,7.64,7.53,0.11,1.4608,545968.0,417566.186
