ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
603667.SH,20260703,76.15,59.8,77.2,58.53,60.66,15.49,0.2554,185107339.0,12762116024.0
603667.SH,20260626,60.66,67.02,67.5,60.66,67.73,-7.07,-0.1044,120812539.0,7811772783.0
603667.SH,20260618,67.73,64.5,68.44,64.1,63.93,3.8,0.0594,84424968.0,5632374334.0
603667.SH,20260612,63.93,70.7,76.17,63.57,74.34,-10.41,-0.14,139143517.0,9765580088.0
603667.SH,20260605,74.34,71.74,78.08,67.3,71.76,2.58,0.036,170168907.0,12117022764.0
603667.SH,20260529,71.76,88.0,90.58,70.55,88.17,-16.41,-0.1861,206844470.0,16813465480.0
603667.SH,20260522,88.17,81.7,89.04,79.05,84.43,3.74,0.0443,267086126.0,22482746813.0
603667.SH,20260515,84.43,78.2,85.5,75.9,78.17,6.26,0.0801,277139786.0,22379149712.0
603667.SH,20260508,78.17,66.41,78.17,66.41,66.38,11.79,0.1776,82639841.0,5973859171.0
603667.SH,20260430,66.38,66.3,67.43,62.3,67.03,-0.65,-0.0097,62589086.0,4077058813.0
603667.SH,20260424,67.03,70.72,72.76,67.01,70.55,-3.52,-0.0499,107566743.0,7511949639.0
603667.SH,20260417,70.55,69.07,73.48,68.68,70.47,0.08,0.0011,104748480.0,7391148666.0
603667.SH,20260410,70.47,66.27,74.0,65.16,66.28,4.19,0.0632,71599518.0,4961761657.0
603667.SH,20260403,66.28,65.32,69.0,65.32,66.71,-0.43,-0.0064,73180410.0,4929018611.0
603667.SH,20260327,66.71,64.52,69.8,62.1,65.49,1.22,0.0186,98697223.0,6532572277.0
603667.SH,20260320,65.49,72.5,72.63,65.41,72.19,-6.7,-0.0928,70137514.0,4841037736.0
603667.SH,20260313,72.19,70.47,78.88,68.52,72.57,-0.38,-0.0052,127740439.0,9497122750.0
603667.SH,20260306,72.57,77.0,79.5,70.5,80.01,-7.44,-0.093,119546579.0,8883958390.0
603667.SH,20260227,80.01,90.4,90.49,79.03,90.64,-10.63,-0.1173,143337217.0,11736126024.0
603667.SH,20260213,90.64,86.0,96.69,84.65,85.65,4.99,0.0583,270053200.0,23973030226.0
603667.SH,20260206,85.65,75.0,85.65,74.78,75.84,9.81,0.1294,234735290.0,18814764830.0
603667.SH,20260130,75.84,87.8,89.2,72.7,87.13,-11.29,-0.1296,211815248.0,16841285298.0
603667.SH,20260123,87.13,83.7,94.27,82.87,81.09,6.04,0.0745,306979969.0,27024481196.0
603667.SH,20260116,81.09,81.71,88.0,73.2,78.11,2.98,0.0382,315945338.0,25098802345.0
603667.SH,20260109,78.11,69.0,82.88,68.01,69.98,8.13,0.1162,390304282.0,30034740541.0
603667.SH,20251231,69.98,52.79,69.98,52.45,52.58,17.4,0.3309,125861732.0,7789873854.0
603667.SH,20251226,52.58,51.27,53.88,48.91,50.31,2.27,0.0451,148875266.0,7623336895.0
603667.SH,20251219,50.31,50.12,53.33,47.6,50.98,-0.67,-0.0131,134986039.0,6808797778.0
603667.SH,20251212,50.98,48.6,57.57,47.81,49.06,1.92,0.0391,267263413.0,14259439420.0
