ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000811.SZ,20260618,40.17,40.17,40.17,40.17,36.52,3.65,9.9945,42367.51,170190.28767
000811.SZ,20260617,36.52,36.52,36.52,36.52,33.2,3.32,10.0,95209.84,347706.33568
000811.SZ,20260616,34.46,34.78,32.66,33.2,33.85,-0.65,-1.9202,517512.22,1738159.50125
000811.SZ,20260615,31.8,33.85,31.06,33.85,30.77,3.08,10.0097,457234.46,1515328.34917
000811.SZ,20260612,32.5,33.27,30.6,30.77,31.4,-0.63,-2.0064,297382.39,942462.88274
000811.SZ,20260611,31.33,32.08,30.6,31.4,31.43,-0.03,-0.0955,258733.02,809288.04865
000811.SZ,20260610,32.12,32.68,31.27,31.43,32.14,-0.71,-2.2091,299802.01,951498.90192
000811.SZ,20260609,29.75,32.14,29.51,32.14,29.22,2.92,9.9932,305851.36,947773.23824
000811.SZ,20260608,29.6,30.8,28.61,29.22,31.04,-1.82,-5.8634,337239.54,994486.317
000811.SZ,20260605,31.43,32.1,30.56,31.04,31.72,-0.68,-2.1438,249270.58,779531.254
000811.SZ,20260604,31.53,32.57,31.0,31.72,31.76,-0.04,-0.1259,218332.2,696571.892
000811.SZ,20260603,31.63,33.21,31.0,31.76,31.01,0.75,2.4186,341428.65,1103572.217
000811.SZ,20260602,31.17,31.6,30.41,31.01,31.17,-0.16,-0.5133,325033.24,1011244.736
000811.SZ,20260601,33.0,33.41,31.0,31.17,32.93,-1.76,-5.3447,377133.07,1205092.585
000811.SZ,20260529,35.21,35.38,32.64,32.93,35.21,-2.28,-6.4754,421275.54,1423036.627
000811.SZ,20260528,34.1,35.88,33.23,35.21,33.76,1.45,4.295,595046.41,2068229.637
000811.SZ,20260527,32.81,35.39,32.73,33.76,32.17,1.59,4.9425,811474.52,2808516.88
000811.SZ,20260526,33.8,34.28,31.5,32.17,34.5,-2.33,-6.7536,527185.9,1704572.925
000811.SZ,20260525,34.67,35.58,31.26,34.5,34.45,0.05,0.1451,789283.54,2602719.525
000811.SZ,20260522,35.19,35.59,33.23,34.45,35.19,-0.74,-2.1029,567741.34,1945275.953
000811.SZ,20260521,37.5,38.46,35.0,35.19,36.98,-1.79,-4.8405,538419.28,1986284.129
000811.SZ,20260520,36.5,38.2,35.3,36.98,38.06,-1.08,-2.8376,564724.88,2071493.057
000811.SZ,20260519,34.26,38.06,33.8,38.06,34.6,3.46,10.0,659131.17,2370777.42
000811.SZ,20260518,32.91,34.61,32.5,34.6,33.12,1.48,4.4686,528693.08,1778974.47
000811.SZ,20260515,33.55,34.94,32.09,33.12,33.66,-0.54,-1.6043,557550.83,1860374.773
000811.SZ,20260514,32.06,34.98,31.69,33.66,31.8,1.86,5.8491,737075.34,2436513.816
000811.SZ,20260513,28.43,31.8,27.56,31.8,28.91,2.89,9.9965,660405.17,1940045.753
000811.SZ,20260512,29.2,30.15,28.4,28.91,28.91,0.0,0.0,542925.13,1587549.196
000811.SZ,20260511,27.5,28.91,27.16,28.91,26.28,2.63,10.0076,357859.12,1021666.739
000811.SZ,20260508,25.71,26.8,25.13,26.28,26.03,0.25,0.9604,428461.3,1104856.005
000811.SZ,20260507,27.02,27.03,25.81,26.03,27.04,-1.01,-3.7352,392669.76,1028146.846
000811.SZ,20260506,25.45,27.45,25.2,27.04,24.95,2.09,8.3768,547001.77,1461506.347
000811.SZ,20260430,24.46,25.37,24.16,24.95,24.63,0.32,1.2992,429116.23,1069602.939
000811.SZ,20260429,24.18,24.64,23.43,24.63,24.35,0.28,1.1499,457715.19,1100477.679
000811.SZ,20260428,22.76,25.4,22.76,24.35,23.1,1.25,5.4113,734841.62,1778630.521
000811.SZ,20260427,22.4,23.25,22.35,23.1,22.22,0.88,3.9604,551608.78,1259308.615
000811.SZ,20260424,22.43,22.6,21.78,22.22,22.43,-0.21,-0.9362,381093.64,845712.102
000811.SZ,20260423,22.83,22.97,21.67,22.43,22.41,0.02,0.0892,752204.97,1672808.185
000811.SZ,20260422,20.88,22.41,20.6,22.41,20.37,2.04,10.0147,727532.62,1589905.121
000811.SZ,20260421,19.19,20.46,18.93,20.37,19.54,0.83,4.2477,398833.56,791590.248
000811.SZ,20260420,19.6,19.92,19.06,19.54,19.26,0.28,1.4538,290566.59,566603.69
000811.SZ,20260417,19.06,19.43,18.96,19.26,19.26,0.0,0.0,209783.43,403938.79
000811.SZ,20260416,18.68,19.29,18.42,19.26,18.65,0.61,3.2708,293773.02,559204.998
000811.SZ,20260415,19.0,19.58,18.53,18.65,18.74,-0.09,-0.4803,299515.0,570585.017
000811.SZ,20260414,18.77,18.97,18.45,18.74,18.6,0.14,0.7527,276123.34,515529.372
000811.SZ,20260413,18.29,18.68,18.14,18.6,18.66,-0.06,-0.3215,232437.94,429993.03
