ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
002409.SZ,20260708,93756,175133.58,87932,165555.02,96065,179848.45,101055,189434.46,88185,165841.12,85753,160147.34,61101,114905.91,64366,120592.25,16155,30385.29
002409.SZ,20260707,80641,151223.15,72061,135469.42,87192,163641.36,82491,154787.41,72450,135957.7,76714,143770.35,50174,94058.77,59190,110853.81,-4817,-8672.91
002409.SZ,20260706,114646,216496.67,82810,156884.16,115867,219684.28,125365,237306.24,108584,205871.03,120740,229177.97,71208,135897.55,81390,154581.16,5318,9042.25
002409.SZ,20260703,82773,166819.28,59179,119478.77,142588,288491.01,134855,272847.98,125870,254632.06,142671,288548.32,112050,226970.79,126576,256038.08,12942,25809.83
002409.SZ,20260702,66525,143941.2,50024,108600.33,127549,276200.23,119743,259226.03,108260,234380.8,118173,255747.94,122487,264214.49,136880,295162.42,69725,148370.11
002409.SZ,20260701,80171,189633.57,60600,143500.89,137414,324492.58,125987,297728.82,125233,295530.59,131013,309496.88,106855,253371.84,132072,312301.99,14607,34987.94
002409.SZ,20260630,66703,144734.06,53983,117586.01,136086,295403.98,118986,258708.5,122574,266058.46,118998,258196.83,121856,265122.65,155252,336827.8,20001,44726.71
002409.SZ,20260629,55338,111232.86,58240,117648.98,103482,209135.61,114042,230967.29,108499,219533.18,118113,239047.28,149358,303726.95,126283,255965.05,-4800,-10810.16
002409.SZ,20260626,80979,152127.47,77488,145654.88,104534,196229.73,97527,183111.1,97589,182998.59,94231,176829.01,72876,136728.06,86732,162488.85,3673,6506.88
002409.SZ,20260625,97398,174563.99,82520,148104.05,118461,212365.57,110018,197342.12,102565,183805.87,118864,213383.03,89123,160298.52,96144,172204.74,-17457,-31092.21
002409.SZ,20260624,62932,104700.57,64505,107523.37,81181,134659.01,93384,155789.72,80962,134762.84,84215,140415.97,99938,168837.5,82910,139230.86,29952,49413.37
002409.SZ,20260623,79450,127693.38,58757,94701.97,114927,184861.57,107841,173475.62,92695,149408.6,100955,162566.98,64044,103038.0,83564,134256.97,-21398,-33772.92
002409.SZ,20260622,59914,95017.31,68496,108975.75,100637,159590.86,109670,174351.51,91254,144813.22,95676,151796.57,95490,152614.03,73455,116911.59,-12408,-19037.05
002409.SZ,20260618,62480,92170.35,72866,107964.14,107837,159226.63,104327,154078.85,87436,129279.61,86193,127165.25,60007,88716.3,54373,80184.63,-8896,-12765.42
002409.SZ,20260617,70846,102607.39,71799,103914.98,112693,162965.67,119804,173289.12,103219,149094.16,99534,144102.07,88174,127574.96,83795,120936.0,40262,58133.14
002409.SZ,20260616,77398,107036.42,82005,113833.26,126412,174968.23,109827,152230.02,102291,141702.41,96148,133092.18,60038,83388.12,78160,107939.72,-15035,-20582.59
002409.SZ,20260615,86952,116894.88,87538,118314.21,126142,170137.49,125363,169294.99,106492,143695.27,105882,142328.91,87003,117147.31,87806,117936.83,13853,19045.02
002409.SZ,20260612,127038,173547.05,94264,129897.37,187957,258471.46,190365,261944.06,196115,270301.22,194275,267253.03,152082,210988.42,184289,254213.69,-5629,-7984.49
002409.SZ,20260611,102250,132848.6,105838,137612.93,148438,193026.31,149356,194970.22,168067,218741.78,152654,198766.67,157707,205860.36,168613,219127.23,69537,92947.07
002409.SZ,20260610,40639,45770.07,70115,81620.54,66542,75466.43,100437,117213.54,78863,91416.81,92499,108202.69,148503,179273.14,71497,84889.68,-79717,-98045.07
002409.SZ,20260609,53638,58524.56,50404,54988.74,67292,73444.84,71257,77784.66,54502,59449.16,56473,61657.54,34862,38194.1,32160,35181.73,-2957,-3269.68
002409.SZ,20260608,59322,63740.4,45330,48694.09,75987,81707.05,79988,85921.98,64176,68927.46,70372,75610.83,38410,41176.14,42206,45324.15,-19031,-20341.02
002409.SZ,20260605,62866,72677.91,55370,64188.13,81233,93959.09,96064,110998.62,66726,77237.63,71403,82468.64,47189,54563.91,35177,40783.14,-17493,-19990.12
002409.SZ,20260604,57531,66973.87,64275,75080.05,83128,96994.53,83882,97923.22,82081,95933.25,71230,83150.62,51305,60091.57,54657,63839.33,2042,2370.79
002409.SZ,20260603,53330,60781.18,55503,63356.23,77559,88444.94,79711,90932.83,70818,80818.23,68291,77853.98,42988,49080.36,41190,46981.66,5150,5926.02
002409.SZ,20260602,48390,52809.98,61897,67598.77,72614,79207.86,87733,95698.35,73004,79751.24,65843,71794.81,61241,66605.81,39775,43282.96,-5807,-5987.7
002409.SZ,20260601,56796,60868.78,51445,55331.28,72036,77409.23,71169,76415.2,55263,59361.55,57299,61479.5,30805,32998.4,34989,37411.98,-204,-38.48
002409.SZ,20260529,83544,92043.28,53103,58914.12,94466,104462.06,92514,102286.68,75095,83121.78,92255,101961.25,48498,53803.34,63732,70268.4,-6919,-7843.85
002409.SZ,20260528,65484,74506.48,62016,70674.87,88271,100438.55,91983,104762.67,78454,89384.85,86919,98997.45,47997,54729.21,39288,44624.1,-5476,-6074.67
