ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603986.SH,20260708,630.0,641.0,589.0,603.17,620.0,-16.83,-2.7145,575107.92,35494320.004
603986.SH,20260707,625.0,646.2,607.0,620.0,654.29,-34.29,-5.2408,515651.41,32272585.837
603986.SH,20260706,690.0,694.99,630.0,654.29,677.77,-23.48,-3.4643,601502.28,39768631.633
603986.SH,20260703,672.54,717.66,642.35,677.77,694.81,-17.04,-2.4525,623522.15,42673730.269
603986.SH,20260702,721.0,731.99,694.81,694.81,772.01,-77.2,-9.9999,452436.41,32120680.671
603986.SH,20260701,803.0,843.38,753.0,772.01,815.0,-42.99,-5.2748,539702.17,43202850.798
603986.SH,20260630,810.0,833.0,781.11,815.0,840.0,-25.0,-2.9762,449646.79,36399346.133
603986.SH,20260629,779.0,846.66,750.0,840.0,770.0,70.0,9.0909,541208.83,43149934.642
603986.SH,20260626,753.0,779.0,732.52,770.0,775.21,-5.21,-0.6721,493925.62,37418302.893
603986.SH,20260625,740.0,775.39,735.0,775.21,705.09,70.12,9.9448,508678.36,38432771.374
603986.SH,20260624,641.0,705.09,630.93,705.09,640.99,64.1,10.0002,598219.31,39944848.281
603986.SH,20260623,680.0,688.8,636.0,640.99,689.7,-48.71,-7.0625,592913.79,39089605.51
603986.SH,20260622,643.0,689.7,635.0,689.7,629.0,60.7,9.6502,525830.95,34699907.688
603986.SH,20260618,594.0,644.64,586.6,629.0,586.04,42.96,7.3306,591573.18,37016387.91
603986.SH,20260617,521.0,586.04,521.0,586.04,532.76,53.28,10.0008,568000.3,31598894.526
603986.SH,20260616,526.0,542.84,517.71,532.76,518.0,14.76,2.8494,427785.07,22673887.613
603986.SH,20260615,494.97,519.0,476.66,518.0,481.47,36.53,7.5872,475784.48,23934989.159
603986.SH,20260612,508.0,510.0,481.0,481.47,483.5,-2.03,-0.4199,407085.44,20201561.53
603986.SH,20260611,480.52,486.0,471.0,483.5,480.84,2.66,0.5532,296991.43,14211235.696
603986.SH,20260610,489.11,497.26,475.65,480.84,500.5,-19.66,-3.9281,329972.1,15988381.63
603986.SH,20260609,493.0,502.88,477.03,500.5,474.01,26.49,5.5885,419683.33,20592669.384
603986.SH,20260608,461.11,490.7,451.0,474.01,488.0,-13.99,-2.8668,434474.74,20573934.017
603986.SH,20260605,507.0,519.8,484.9,488.0,529.31,-41.31,-7.8045,547135.42,27565110.091
603986.SH,20260604,487.05,538.0,485.01,529.31,492.23,37.08,7.5331,563350.88,29302244.793
603986.SH,20260603,478.89,510.0,477.0,492.23,474.69,17.54,3.695,581929.78,28838934.89
603986.SH,20260602,471.0,480.66,448.11,474.69,468.0,6.69,1.4295,490192.77,23013728.744
603986.SH,20260601,476.0,489.96,455.0,468.0,467.01,0.99,0.212,521586.48,24676174.086
603986.SH,20260529,492.66,496.0,464.91,467.01,483.0,-15.99,-3.3106,558125.42,26715074.211
603986.SH,20260528,495.0,499.5,470.0,483.0,514.18,-31.18,-6.064,623792.2,30240489.779
603986.SH,20260527,541.0,552.82,500.0,514.18,526.22,-12.04,-2.288,667260.41,35341222.581
603986.SH,20260526,510.0,538.02,491.2,526.22,514.85,11.37,2.2084,643383.92,33017657.438
603986.SH,20260525,478.11,515.61,461.0,515.6,468.74,46.86,9.997,593614.11,29387713.836
603986.SH,20260522,448.0,472.99,439.0,468.74,431.9,36.84,8.5298,637968.89,28932072.443
603986.SH,20260521,445.02,464.83,427.33,431.9,445.02,-13.12,-2.9482,632397.68,28199401.936
603986.SH,20260520,408.0,445.02,407.8,445.02,404.56,40.46,10.001,610125.55,26523529.101
603986.SH,20260519,390.0,410.0,380.02,404.56,400.0,4.56,1.14,553101.11,21805396.34
603986.SH,20260518,408.58,412.87,396.34,400.0,375.34,24.66,6.57,687984.34,27876373.984
603986.SH,20260515,353.0,384.0,345.48,375.34,356.19,19.15,5.3763,624368.11,22792196.753
603986.SH,20260514,365.05,373.5,354.99,356.19,365.0,-8.81,-2.4137,408364.64,14829461.848
603986.SH,20260513,344.0,366.71,339.33,365.0,353.55,11.45,3.2386,484982.84,17127399.574
603986.SH,20260512,362.14,362.2,349.2,353.55,362.13,-8.58,-2.3693,405595.51,14360590.982
603986.SH,20260511,350.1,367.51,347.01,362.13,334.1,28.03,8.3897,575079.07,20673848.905
603986.SH,20260508,341.0,343.3,331.8,334.1,350.16,-16.06,-4.5865,440832.73,14821436.654
603986.SH,20260507,347.0,357.36,339.0,350.16,344.29,5.87,1.705,523878.82,18174549.786
