ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
002409.SZ,20260630,224.5,108.0,228.1,103.4,107.36,117.14,1.0911,738556315.0,108881122512.55
002409.SZ,20260529,107.67,87.55,128.15,87.55,84.71,22.96,0.271,557846953.0,62157527848.09
002409.SZ,20260430,84.71,81.5,92.54,76.68,78.74,5.97,0.0758,241463264.0,20559006519.7
002409.SZ,20260331,78.74,94.0,99.15,76.25,95.97,-17.23,-0.1795,265083931.0,23225635714.99
002409.SZ,20260227,95.97,94.43,99.53,85.21,96.29,-0.32,-0.0033,149443657.0,13687834575.92
002409.SZ,20260130,96.29,76.0,100.94,75.25,74.1,22.19,0.2995,457399506.0,41547231547.43
002409.SZ,20251231,74.1,70.28,77.17,68.5,69.42,4.68,0.0674,258017684.0,18665376258.3
002409.SZ,20251128,69.42,77.3,83.19,66.7,77.39,-7.97,-0.103,326891431.0,24573060770.77
002409.SZ,20251031,77.39,78.0,88.12,72.53,73.75,3.64,0.0494,425862457.0,34049482131.01
002409.SZ,20250930,73.75,61.14,75.93,55.6,60.03,13.72,0.2286,443193620.0,28823808710.52
002409.SZ,20250829,60.03,55.14,62.9,54.7,55.27,4.76,0.0861,292044944.0,17227902803.9
002409.SZ,20250731,55.27,55.0,58.49,52.78,54.69,0.58,0.0106,166109130.0,9128365000.16
002409.SZ,20250630,54.69,51.78,55.0,51.15,52.41,2.28,0.0435,98832403.0,5228199567.79
002409.SZ,20250530,52.41,55.89,57.9,52.31,55.16,-2.75,-0.0499,97379163.0,5363980029.94
002409.SZ,20250430,55.16,61.9,62.9,48.7,61.97,-6.81,-0.1099,169179480.0,9302083136.57
002409.SZ,20250331,61.97,62.26,65.18,58.65,62.54,-0.57,-0.0091,157131110.0,9739302681.45
002409.SZ,20250228,62.54,60.6,65.58,58.2,59.8,2.74,0.0458,196328511.0,12127432705.17
002409.SZ,20250127,59.8,57.78,61.94,53.86,57.95,1.85,0.0319,131781534.0,7658891750.33
002409.SZ,20241231,57.95,64.2,65.5,57.95,64.2,-6.25,-0.0974,168750918.0,10411431846.74
002409.SZ,20241129,64.2,63.11,74.36,60.8,63.79,0.41,0.0064,313409971.0,20823614315.09
002409.SZ,20241031,63.79,67.52,69.38,57.0,61.38,2.41,0.0393,298933267.0,18789302366.65
002409.SZ,20240930,61.38,55.37,61.38,46.85,55.77,5.61,0.1006,145648317.0,7613274961.77
002409.SZ,20240830,55.77,59.5,60.79,50.8,59.2,-3.43,-0.0579,138534565.0,7509917515.3
002409.SZ,20240731,59.2,62.79,70.69,55.79,62.91,-3.71,-0.059,230975254.0,14896711528.53
002409.SZ,20240628,62.91,59.62,66.21,58.41,59.15,3.76,0.0636,203292995.0,12755971462.46
002409.SZ,20240531,59.15,65.6,65.62,55.96,64.19,-5.04,-0.0785,173404542.0,10450222541.09
002409.SZ,20240430,64.19,55.48,65.5,50.68,55.82,8.37,0.1499,161131250.0,9291395736.84
002409.SZ,20240329,55.82,51.2,59.35,49.91,50.45,5.37,0.1064,246820709.0,13508392662.1
002409.SZ,20240229,50.45,39.01,50.45,33.24,38.85,11.6,0.2986,171492177.0,7422323027.38
002409.SZ,20240131,38.85,55.73,55.74,38.72,55.73,-16.88,-0.3029,158078530.0,7242524588.74
002409.SZ,20231229,55.73,60.72,61.39,52.91,61.57,-5.84,-0.0949,104185281.0,5928938348.55
002409.SZ,20231130,61.57,57.77,70.11,54.11,57.61,3.96,0.0687,222318390.0,13669733953.26
002409.SZ,20231031,57.61,64.01,67.47,52.8,64.6,-6.99,-0.1082,126966233.0,7438859659.29
002409.SZ,20230928,64.6,67.3,71.64,61.44,67.93,-3.33,-0.049,122502610.0,8171244524.95
002409.SZ,20230831,67.93,67.6,72.6,58.97,68.04,-0.11,-0.0016,157163570.0,10370101371.56
002409.SZ,20230731,68.04,73.11,87.12,65.82,72.88,-4.84,-0.0664,273031960.0,20688482061.07
002409.SZ,20230630,72.88,73.45,74.73,65.05,73.23,-0.35,-0.0048,187510950.0,13123151323.85
002409.SZ,20230531,73.23,65.87,76.77,62.33,67.66,5.57,0.0823,245345189.0,16888499233.93
002409.SZ,20230428,67.66,52.8,75.18,52.78,52.1,15.56,0.2987,363522999.0,23846634747.03
002409.SZ,20230331,52.1,49.54,56.88,49.18,49.52,2.58,0.0521,216969194.0,11678167898.56
002409.SZ,20230228,49.52,52.41,54.68,49.01,52.18,-2.66,-0.051,108944296.0,5698222533.04
002409.SZ,20230131,52.18,50.39,53.6,49.73,50.37,1.81,0.0359,62912819.0,3266997829.62
