ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
300723.SZ,20260708,49143,19022.05,45654,17720.3,49375,19153.29,46804,18139.41,33912,13152.81,37269,14429.51,6508,2536.92,9211,3575.84,-12622,-4824.08
300723.SZ,20260707,61090,23901.95,40793,15986.12,54593,21372.58,59983,23482.92,36524,14284.33,47098,18416.66,9828,3857.84,14162,5531.0,-9215,-3578.29
300723.SZ,20260706,63914,26632.75,64683,27167.1,104879,43889.01,105301,44138.82,92446,38951.83,88341,37077.16,23171,9774.5,26086,10865.01,-12726,-5237.33
300723.SZ,20260703,63468,25164.32,65334,26060.01,74474,29691.03,79595,31787.2,63014,25229.41,58129,23170.23,17723,7103.22,15622,6170.54,-189,127.67
300723.SZ,20260702,67863,27193.94,79779,32038.38,88955,35771.35,80474,32372.55,68113,27401.72,59691,24001.53,20521,8222.85,25508,10177.41,-9078,-3578.54
300723.SZ,20260701,79950,30727.4,91599,35401.31,93970,36298.62,100027,38674.67,73857,28671.79,68312,26408.59,29658,11614.02,17498,6827.25,12455,5069.74
300723.SZ,20260630,70741,26264.74,53650,19957.6,57220,21258.65,62232,23116.79,35710,13262.98,46369,17204.59,14660,5460.92,16080,5968.31,-12144,-4512.11
300723.SZ,20260629,82594,29753.97,86458,31020.07,88937,31853.22,96420,34696.75,72188,25884.99,68672,24734.85,22910,8388.41,15078,5428.91,73239,26605.67
300723.SZ,20260626,40001,13325.78,34898,11629.73,36286,12087.88,37175,12382.99,23443,7777.26,24942,8283.26,2415,793.29,5130,1688.23,-21784,-7255.89
300723.SZ,20260625,43131,14677.92,42117,14401.95,49828,17018.07,49446,16882.27,29289,10003.42,31379,10673.77,12891,4394.42,12197,4135.84,-5683,-1976.36
300723.SZ,20260624,54273,19073.57,50279,17653.11,56767,19953.48,51269,18040.23,35716,12556.75,37997,13366.88,12618,4453.61,19829,6977.19,-9580,-3308.46
300723.SZ,20260623,61800,21998.88,64353,22899.61,65722,23323.1,74656,26570.25,60568,21573.22,54545,19415.26,20128,7231.69,14663,5241.77,27600,9958.49
300723.SZ,20260622,45842,14734.42,31032,9999.33,39610,12715.9,40140,12904.44,24681,7954.37,33232,10666.52,9591,3125.28,15320,4959.69,-178,-9.34
300723.SZ,20260618,31246,10395.41,31032,10360.78,32072,10688.45,34951,11659.77,28900,9636.97,27876,9255.98,8062,2685.96,6422,2130.26,1945,642.62
300723.SZ,20260617,27076,8863.1,19224,6300.75,25392,8317.1,29396,9625.89,17607,5763.16,20877,6829.27,3881,1272.3,4458,1459.76,9005,2957.36
300723.SZ,20260616,52441,17605.48,33360,11215.2,49918,16759.43,46609,15646.51,35407,11848.26,42301,14177.96,7049,2342.02,22545,7515.49,-36575,-12297.55
300723.SZ,20260615,23763,8325.07,27413,9614.32,30056,10532.12,26745,9373.5,21069,7386.73,18077,6332.22,7245,2537.33,9898,3461.2,-782,-273.01
300723.SZ,20260612,33305,11485.48,36046,12472.67,37342,12905.57,38247,13219.48,24311,8425.38,21923,7561.93,6594,2263.01,5336,1825.35,4605,1597.95
300723.SZ,20260611,29397,9950.67,25808,8761.53,27460,9304.9,26839,9096.5,20938,7105.26,22947,7773.03,5335,1811.86,7536,2541.62,-2261,-770.23
300723.SZ,20260610,37954,12953.78,23592,8055.13,32234,11009.18,33428,11408.92,16849,5741.87,26019,8884.44,6575,2238.77,10573,3595.11,1777,588.4
300723.SZ,20260609,29144,10233.81,26961,9487.0,30852,10843.14,30750,10804.5,21160,7445.72,22322,7833.91,2920,1021.1,4043,1418.37,386,160.33
300723.SZ,20260608,49141,17572.58,31393,11262.51,50388,17995.51,53320,19069.61,31033,11032.11,43949,15637.22,11422,4059.12,13321,4689.98,-16282,-5852.62
