ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300689.SZ,20260708,66.81,71.19,66.0,70.09,66.17,3.92,5.9241,50262.65,347761.6832
300689.SZ,20260707,65.0,69.5,64.51,66.17,65.58,0.59,0.8997,29531.4,199119.32
300689.SZ,20260706,66.5,68.34,63.42,65.58,66.5,-0.92,-1.3835,42782.1,281232.1575
300689.SZ,20260703,68.6,69.19,66.0,66.5,68.28,-1.78,-2.6069,31573.2,212339.5315
300689.SZ,20260702,69.53,71.7,67.88,68.28,70.8,-2.52,-3.5593,30923.7,214392.6962
300689.SZ,20260701,69.56,71.77,68.68,70.8,70.18,0.62,0.8834,33530.2,235589.816
300689.SZ,20260630,67.16,70.68,66.5,70.18,66.9,3.28,4.9028,49635.75,343999.35665
300689.SZ,20260629,63.5,67.8,62.51,66.9,62.5,4.4,7.04,48282.0,315307.5571
300689.SZ,20260626,62.0,65.0,60.89,62.5,61.37,1.13,1.8413,34340.4,216461.3826
300689.SZ,20260625,63.09,63.3,61.04,61.37,63.09,-1.72,-2.7263,21547.5,133207.515
300689.SZ,20260624,62.37,63.4,60.12,63.09,63.8,-0.71,-1.1129,36147.3,223213.2504
300689.SZ,20260623,61.5,68.5,61.5,63.8,60.95,2.85,4.676,44214.2,286679.5282
300689.SZ,20260622,62.4,62.4,57.9,60.95,63.0,-2.05,-3.254,54624.9,326983.9873
300689.SZ,20260618,60.27,63.68,60.0,63.0,60.27,2.73,4.5296,33484.5,208240.111
300689.SZ,20260617,60.9,62.25,60.0,60.27,61.59,-1.32,-2.1432,35346.24,215093.65264
300689.SZ,20260616,59.81,63.19,58.86,61.59,59.29,2.3,3.8792,49678.5,303302.374
300689.SZ,20260615,55.66,59.76,55.0,59.29,56.61,2.68,4.7341,42473.2,246069.891
300689.SZ,20260612,54.5,61.5,54.08,56.61,52.75,3.86,7.3175,65797.55,387218.20765
300689.SZ,20260611,49.6,53.37,49.3,52.75,50.27,2.48,4.9334,29125.4,150527.0238
300689.SZ,20260610,49.0,50.36,48.27,50.27,49.59,0.68,1.3712,14246.0,70367.83
300689.SZ,20260609,48.95,49.9,47.3,49.59,48.14,1.45,3.012,16541.0,80942.032
300689.SZ,20260608,50.17,52.2,47.5,48.18,51.43,-3.25,-6.3193,27233.0,134736.568
