ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600759.SH,20260407,5.57,5.8,5.3,5.77,5.71,0.06,1.0508,4044080.2,2282640.341
600759.SH,20260403,5.9,5.93,5.61,5.71,5.89,-0.18,-3.056,3820119.96,2191577.929
600759.SH,20260402,5.7,6.05,5.7,5.89,5.61,0.28,4.9911,6365506.2,3729409.409
600759.SH,20260401,5.64,5.75,5.55,5.61,5.69,-0.08,-1.406,4119380.78,2333352.863
600759.SH,20260331,5.92,5.99,5.69,5.69,6.02,-0.33,-5.4817,4638710.19,2698154.556
600759.SH,20260330,6.4,6.47,6.0,6.02,6.17,-0.15,-2.4311,4512838.06,2785030.365
600759.SH,20260327,6.13,6.25,5.91,6.17,6.19,-0.02,-0.3231,5309727.46,3221056.96
600759.SH,20260326,6.06,6.38,5.86,6.19,6.09,0.1,1.642,6294873.64,3835967.302
600759.SH,20260325,6.01,6.25,5.85,6.09,6.44,-0.35,-5.4348,5801681.67,3499312.612
600759.SH,20260324,6.44,6.53,6.2,6.44,6.82,-0.38,-5.5718,4897252.1,3132317.25
600759.SH,20260323,6.7,6.94,6.59,6.82,6.69,0.13,1.9432,4912494.81,3322496.726
600759.SH,20260320,6.62,6.94,6.62,6.69,7.18,-0.49,-6.8245,4870483.17,3284451.531
600759.SH,20260319,7.05,7.28,6.67,7.18,6.65,0.53,7.9699,8034171.85,5578780.46
600759.SH,20260318,6.98,6.98,6.51,6.65,7.23,-0.58,-8.0221,5778851.79,3841397.352
600759.SH,20260317,7.1,7.36,6.88,7.23,7.29,-0.06,-0.823,6440643.03,4584372.188
600759.SH,20260316,7.0,7.6,6.99,7.29,7.02,0.27,3.8462,6414002.18,4700451.565
600759.SH,20260313,7.51,7.58,6.95,7.02,7.39,-0.37,-5.0068,6146027.95,4388826.003
600759.SH,20260312,7.8,7.8,7.3,7.39,7.56,-0.17,-2.2487,7052639.83,5306372.727
600759.SH,20260311,7.1,7.72,6.91,7.56,7.49,0.07,0.9346,8316348.6,6136074.334
600759.SH,20260310,7.49,7.75,7.49,7.49,8.32,-0.83,-9.976,7200395.61,5425944.65
600759.SH,20260309,9.06,9.06,8.3,8.32,8.24,0.08,0.9709,12525666.55,11015283.729
600759.SH,20260306,7.88,8.55,7.88,8.24,8.7,-0.46,-5.2874,9769285.55,7968082.753
600759.SH,20260305,8.24,9.09,7.78,8.7,8.26,0.44,5.3269,14722635.93,12525996.752
600759.SH,20260304,8.26,8.26,8.03,8.26,7.51,0.75,9.9867,6580779.71,5433027.777
600759.SH,20260303,7.51,7.51,7.51,7.51,6.83,0.68,9.9561,305020.83,229070.643
600759.SH,20260302,6.83,6.83,6.83,6.83,6.21,0.62,9.9839,515734.17,352246.438
600759.SH,20260227,6.06,6.46,6.02,6.21,6.07,0.14,2.3064,6353854.78,3929464.489
600759.SH,20260226,5.97,6.51,5.96,6.07,5.97,0.1,1.675,9610748.28,5930265.381
600759.SH,20260225,5.47,5.97,5.46,5.97,5.43,0.54,9.9448,9393997.45,5479572.718
600759.SH,20260224,5.3,5.43,5.3,5.43,4.94,0.49,9.919,2062973.47,1114986.499
600759.SH,20260213,5.0,5.07,4.82,4.94,5.1,-0.16,-3.1373,3761710.6,1869498.459
600759.SH,20260212,5.4,5.68,5.1,5.1,5.38,-0.28,-5.2045,5663200.55,2985151.163
600759.SH,20260211,5.3,5.55,5.19,5.38,5.27,0.11,2.0873,6127194.56,3299050.961
600759.SH,20260210,5.51,5.55,5.18,5.27,5.4,-0.13,-2.4074,5598535.22,2977400.568
600759.SH,20260209,5.6,5.66,5.27,5.4,5.5,-0.1,-1.8182,7926773.04,4321690.436
