ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002865.SZ,20260708,53.37,53.54,50.36,50.4,53.33,-2.93,-5.4941,98971.85,508727.26981
002865.SZ,20260707,55.17,55.62,53.06,53.33,54.88,-1.55,-2.8243,93447.96,506191.18098
002865.SZ,20260706,58.8,60.16,54.72,54.88,58.99,-4.11,-6.9673,123737.41,703799.50494
002865.SZ,20260703,57.9,59.66,57.08,58.99,57.94,1.05,1.8122,110981.39,649443.55529
002865.SZ,20260702,59.21,61.2,57.8,57.94,60.22,-2.28,-3.7861,119766.07,712438.85742
002865.SZ,20260701,59.08,61.99,57.5,60.22,59.68,0.54,0.9048,153900.4,918507.29646
002865.SZ,20260630,57.35,60.22,56.7,59.68,56.55,3.13,5.5349,157083.6,928568.97297
002865.SZ,20260629,57.5,57.7,55.46,56.55,57.13,-0.58,-1.0152,111249.09,628744.96191
002865.SZ,20260626,58.2,59.88,56.67,57.13,58.1,-0.97,-1.6695,134816.52,780776.15632
002865.SZ,20260625,59.95,60.56,57.39,58.1,60.05,-1.95,-3.2473,135793.81,795155.17165
002865.SZ,20260624,59.4,60.99,57.49,60.05,59.35,0.7,1.1794,128849.98,763341.78002
002865.SZ,20260623,62.5,62.63,59.0,59.35,63.06,-3.71,-5.8833,133217.69,804617.52307
002865.SZ,20260622,62.67,64.9,60.56,63.06,63.88,-0.82,-1.2837,194199.97,1204542.17541
002865.SZ,20260618,66.28,66.3,63.5,63.88,66.83,-2.95,-4.4142,212702.94,1373495.66809
002865.SZ,20260617,69.5,69.97,66.35,66.83,67.71,-0.88,-1.2997,206902.48,1401583.01622
002865.SZ,20260616,67.17,69.77,65.51,67.71,65.17,2.54,3.8975,206246.34,1400696.73331
002865.SZ,20260615,65.36,65.54,63.42,65.17,64.22,0.95,1.4793,97115.54,626963.44734
002865.SZ,20260612,65.27,67.11,64.11,64.22,63.88,0.34,0.5322,112489.16,737406.11914
002865.SZ,20260611,65.14,65.3,62.75,63.88,64.79,-0.91,-1.4045,88543.71,564352.98104
002865.SZ,20260610,67.71,67.93,63.13,64.79,68.86,-4.07,-5.9105,134825.74,876318.45653
002865.SZ,20260609,68.54,69.22,66.45,68.86,67.08,1.78,2.6535,105937.26,717819.71108
002865.SZ,20260608,69.66,73.08,66.52,67.08,72.86,-5.78,-7.933,145220.72,1008080.719
002865.SZ,20260605,75.78,76.12,70.03,72.86,73.47,-0.61,-0.8303,188537.69,1369450.499
002865.SZ,20260604,73.45,74.7,71.02,73.47,74.07,-0.6,-0.81,122757.52,894005.886
002865.SZ,20260603,72.44,76.54,71.33,74.07,72.52,1.55,2.1373,139480.29,1039634.161
002865.SZ,20260602,75.09,76.23,70.98,72.52,75.07,-2.55,-3.3968,111109.9,807667.115
002865.SZ,20260601,77.0,79.88,74.71,75.07,77.05,-1.98,-2.5698,122109.17,940932.479
002865.SZ,20260529,83.5,84.14,75.9,77.05,84.09,-7.04,-8.372,146469.05,1161345.845
002865.SZ,20260528,85.24,85.5,82.05,84.09,85.65,-1.56,-1.8214,124495.93,1037426.931
002865.SZ,20260527,87.31,89.98,84.0,85.65,88.0,-2.35,-2.6705,131372.8,1147055.382
002865.SZ,20260526,92.46,92.52,85.3,88.0,94.7,-6.7,-7.075,218432.7,1929635.072
002865.SZ,20260525,100.31,101.66,90.8,94.7,99.39,-4.69,-4.7188,234199.79,2211408.672
002865.SZ,20260522,98.0,99.9,95.0,99.39,97.66,1.73,1.7715,157517.02,1538406.7
002865.SZ,20260521,98.8,103.2,96.77,97.66,98.86,-1.2,-1.2138,213635.0,2148480.849
002865.SZ,20260520,94.87,101.0,94.25,98.86,95.12,3.74,3.9319,197283.82,1929165.674
002865.SZ,20260519,99.94,100.78,93.8,95.12,99.5,-4.38,-4.402,207867.12,1989886.742
002865.SZ,20260518,98.3,104.06,95.89,99.5,97.21,2.29,2.3557,244734.7,2462527.886
002865.SZ,20260515,100.1,100.88,91.05,97.21,100.28,-3.07,-3.0614,292038.3,2779712.583
002865.SZ,20260514,106.01,110.63,99.3,100.28,101.5,-1.22,-1.202,341539.58,3580140.194
002865.SZ,20260513,103.0,106.73,100.97,101.5,103.92,-2.42,-2.3287,265921.03,2746381.131
002865.SZ,20260512,108.43,110.0,98.95,103.92,106.18,-2.26,-2.1285,333475.74,3457070.664
002865.SZ,20260511,105.7,106.18,103.17,106.18,96.53,9.65,9.9969,261553.92,2767724.188
002865.SZ,20260508,89.89,96.53,88.3,96.53,87.75,8.78,10.0057,310763.6,2869644.188
002865.SZ,20260507,82.86,90.06,82.82,87.75,81.87,5.88,7.1821,275072.32,2423616.035
002865.SZ,20260506,81.0,82.66,78.89,81.87,80.65,1.22,1.5127,161049.65,1309008.169
002865.SZ,20260430,76.18,80.92,75.9,80.65,76.86,3.79,4.931,209765.67,1650493.401
002865.SZ,20260429,71.56,77.58,70.8,76.86,72.87,3.99,5.4755,187949.22,1408205.528
002865.SZ,20260428,75.7,76.17,72.85,72.87,74.7,-1.83,-2.4498,113236.26,839928.666
002865.SZ,20260427,74.01,76.31,73.78,74.7,74.87,-0.17,-0.2271,95340.74,712256.089
002865.SZ,20260424,76.0,76.0,72.28,74.87,76.38,-1.51,-1.977,126628.62,938034.447
002865.SZ,20260423,78.5,78.99,76.38,76.38,79.1,-2.72,-3.4387,138154.42,1068756.552
002865.SZ,20260422,81.2,81.25,78.06,79.1,81.25,-2.15,-2.6462,196793.44,1554323.073
002865.SZ,20260421,79.23,82.0,77.79,81.25,78.2,3.05,3.9003,285883.55,2293585.718
002865.SZ,20260420,75.0,79.67,73.99,78.2,74.29,3.91,5.2632,252669.03,1947992.99
002865.SZ,20260417,74.41,75.18,72.7,74.29,75.11,-0.82,-1.0917,164868.34,1217767.098
002865.SZ,20260416,73.82,76.3,72.5,75.11,72.96,2.15,2.9468,200861.74,1501794.669
002865.SZ,20260415,72.69,76.96,72.08,72.96,71.14,1.82,2.5583,278516.67,2063630.788
002865.SZ,20260414,72.6,72.87,69.7,71.14,73.09,-1.95,-2.6679,193867.92,1369149.906
002865.SZ,20260413,73.31,74.48,72.55,73.09,74.1,-1.01,-1.363,170602.81,1251500.45
002865.SZ,20260410,73.0,76.35,69.95,74.1,75.53,-1.43,-1.8933,250579.36,1838966.19
002865.SZ,20260409,71.75,76.73,70.4,75.53,72.92,2.61,3.5793,156745.34,1167406.141
002865.SZ,20260408,71.39,73.28,71.02,72.92,69.95,2.97,4.2459,100262.48,726310.567
002865.SZ,20260407,69.69,70.89,69.1,69.95,68.89,1.06,1.5387,81978.25,576233.722
002865.SZ,20260403,71.61,72.8,68.55,68.89,71.61,-2.72,-3.7984,89696.55,625894.751
002865.SZ,20260402,72.22,73.3,71.08,71.61,73.18,-1.57,-2.1454,86874.8,625385.593
002865.SZ,20260401,73.0,75.0,70.08,73.18,71.98,1.2,1.6671,124732.34,906429.806
002865.SZ,20260331,72.0,75.89,71.3,71.98,72.61,-0.63,-0.8676,143743.01,1057435.699
002865.SZ,20260330,70.71,72.92,68.48,72.61,71.91,0.7,0.9734,172023.61,1215999.74
002865.SZ,20260327,71.42,73.32,70.89,71.91,73.31,-1.4,-1.9097,122193.78,881541.261
002865.SZ,20260326,75.99,76.83,72.68,73.31,75.84,-2.53,-3.336,120512.59,894890.765
002865.SZ,20260325,77.35,78.96,74.64,75.84,76.51,-0.67,-0.8757,163717.84,1251134.792
002865.SZ,20260324,79.03,79.98,72.36,76.51,78.55,-2.04,-2.5971,177540.78,1340463.707
002865.SZ,20260323,80.62,84.56,78.1,78.55,84.77,-6.22,-7.3375,180210.26,1462936.482
002865.SZ,20260320,83.0,91.21,79.75,84.77,82.92,1.85,2.2311,248831.68,2131057.997
002865.SZ,20260319,83.51,85.36,81.8,82.92,85.65,-2.73,-3.1874,104600.46,870109.013
002865.SZ,20260318,83.82,86.4,82.33,85.65,82.45,3.2,3.8811,149068.01,1264619.502
002865.SZ,20260317,83.38,86.0,82.16,82.45,81.2,1.25,1.5394,161712.39,1362057.606
002865.SZ,20260316,83.4,83.99,79.95,81.2,82.89,-1.69,-2.0388,104779.59,851363.495
002865.SZ,20260313,84.55,86.28,82.76,82.89,84.88,-1.99,-2.3445,102311.29,863570.394
002865.SZ,20260312,88.6,89.0,83.57,84.88,89.15,-4.27,-4.7897,162722.14,1391684.072
002865.SZ,20260311,91.15,93.3,88.88,89.15,91.02,-1.87,-2.0545,186286.43,1688801.906
002865.SZ,20260310,89.52,92.02,85.4,91.02,87.42,3.6,4.1181,185266.7,1663147.51
002865.SZ,20260309,87.33,88.97,84.15,87.42,92.0,-4.58,-4.9783,221369.26,1916896.73
002865.SZ,20260306,87.0,95.72,85.91,92.0,87.02,4.98,5.7228,288495.22,2641618.266
002865.SZ,20260305,85.66,88.88,84.66,87.02,83.58,3.44,4.1158,156360.11,1360163.01
002865.SZ,20260304,81.63,87.8,81.34,83.58,83.02,0.56,0.6745,160237.76,1361444.544
002865.SZ,20260303,90.75,93.18,82.76,83.02,90.3,-7.28,-8.062,221352.76,1912437.006
