ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
002202.SZ,20260630,23.9,23.88,24.08,20.8,23.42,0.48,0.0205,2910468132.0,65258059944.15
002202.SZ,20260529,23.42,28.0,28.99,23.32,27.55,-4.13,-0.1499,3180820556.0,83853900392.34
002202.SZ,20260430,27.55,26.53,28.18,22.8,26.3,1.25,0.0475,4442412552.0,111780465762.0
002202.SZ,20260331,26.3,28.08,33.3,25.87,28.45,-2.15,-0.0756,6221328048.0,181757851201.16
002202.SZ,20260227,28.45,26.1,28.99,24.56,26.11,2.34,0.0896,3241976850.0,85860207226.67
002202.SZ,20260130,26.11,22.44,37.03,20.8,20.4,5.71,0.2799,9476133929.0,267392287738.32
002202.SZ,20251231,20.4,15.4,22.78,14.58,15.41,4.99,0.3238,4711128726.0,85012098333.33
002202.SZ,20251128,15.41,15.87,17.55,13.96,15.7,-0.29,-0.0185,2166580385.0,34111366037.26
002202.SZ,20251031,15.7,15.2,18.5,14.34,14.97,0.73,0.0488,3187677162.0,50364498521.39
002202.SZ,20250930,14.97,11.41,15.23,10.9,11.42,3.55,0.3109,2883120113.0,37480239076.71
002202.SZ,20250829,11.42,9.6,12.15,9.58,9.63,1.79,0.1859,1487085366.0,16285496327.67
002202.SZ,20250731,9.63,10.23,10.75,9.59,10.25,-0.62,-0.0605,871885874.0,8707543152.85
002202.SZ,20250630,10.25,9.2,10.35,9.09,9.25,1.0,0.1081,866209191.0,8506227857.67
002202.SZ,20250530,9.25,8.81,9.53,8.71,8.75,0.5,0.0571,649071386.0,5963368888.3
002202.SZ,20250430,8.75,8.89,9.14,7.64,8.88,-0.13,-0.0146,894156973.0,7551428249.11
002202.SZ,20250331,8.88,9.06,9.89,8.86,9.05,-0.17,-0.0188,1072766460.0,9920150001.18
002202.SZ,20250228,9.05,9.55,9.58,8.8,9.61,-0.56,-0.0583,836747395.0,7629869671.61
002202.SZ,20250127,9.61,10.31,10.39,9.61,10.33,-0.72,-0.0697,419662629.0,4190506113.01
002202.SZ,20241231,10.33,11.2,11.45,10.14,11.16,-0.83,-0.0744,795545042.0,8645932071.43
002202.SZ,20241129,11.16,11.02,11.88,9.93,10.88,0.28,0.0257,1328635738.0,14505354436.15
002202.SZ,20241031,10.88,11.02,11.42,9.38,10.02,0.86,0.0858,1337002258.0,14092426239.16
002202.SZ,20240930,10.02,8.22,10.04,8.06,8.26,1.76,0.2131,747962327.0,6455091767.36
002202.SZ,20240830,8.26,7.97,8.5,7.26,8.01,0.25,0.0312,888614048.0,7084531559.81
002202.SZ,20240731,8.01,6.73,8.36,6.46,6.72,1.29,0.192,843920824.0,6326748620.52
002202.SZ,20240628,6.72,7.8,7.84,6.67,7.8,-1.08,-0.1385,599295860.0,4392329021.61
002202.SZ,20240531,7.8,7.83,8.15,7.76,7.63,0.17,0.0223,524689314.0,4164408288.13
002202.SZ,20240430,7.63,7.57,7.97,7.21,7.53,0.1,0.0133,472990341.0,3618715507.46
002202.SZ,20240329,7.53,7.65,8.26,7.3,7.64,-0.11,-0.0144,606830663.0,4753669964.17
002202.SZ,20240229,7.64,6.91,7.77,6.37,6.98,0.66,0.0946,392354438.0,2828880467.3
002202.SZ,20240131,6.98,8.0,8.02,6.96,8.0,-1.02,-0.1275,398604475.0,2990283065.86
002202.SZ,20231229,8.0,8.69,8.71,7.39,8.7,-0.7,-0.0805,480566713.0,3815925681.62
002202.SZ,20231130,8.7,8.88,9.18,8.68,8.79,-0.09,-0.0102,289947804.0,2600273401.21
002202.SZ,20231031,8.79,9.2,9.37,8.36,9.23,-0.44,-0.0477,296346445.0,2645709839.78
002202.SZ,20230928,9.23,9.5,9.65,8.97,9.5,-0.27,-0.0284,282931843.0,2642140702.24
002202.SZ,20230831,9.5,11.19,11.32,9.22,11.2,-1.7,-0.1518,374061009.0,3823614319.95
002202.SZ,20230731,11.2,10.68,11.24,10.58,10.62,0.58,0.0546,250202051.0,2720090864.26
002202.SZ,20230630,10.62,10.85,11.1,10.0,10.88,-0.26,-0.0239,302554959.0,3228498779.61
002202.SZ,20230531,10.88,10.88,11.48,10.72,10.96,-0.08,-0.0073,385044115.0,4276161782.61
002202.SZ,20230428,10.96,11.04,11.44,10.45,11.04,-0.08,-0.0072,403082884.0,4459302690.95
002202.SZ,20230331,11.04,11.34,11.85,10.77,11.36,-0.32,-0.0282,466737074.0,5246766196.36
002202.SZ,20230228,11.36,11.72,11.82,11.12,11.72,-0.36,-0.0307,425163028.0,4903901148.32
002202.SZ,20230131,11.72,11.01,11.75,11.01,11.0,0.72,0.0655,361177119.0,4088561403.84
