ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
002205.SZ,20260708,29746,3060.65,25373,2609.13,14626,1504.52,16760,1725.22,4425,453.2,5509,566.55,0,0.0,1155,117.47,-5768,-591.2
002205.SZ,20260707,32201,3376.67,40628,4262.02,27851,2926.57,19940,2095.11,12422,1301.43,9630,1009.25,0,0.0,2276,238.29,-9676,-1006.58
002205.SZ,20260706,22661,2421.29,30005,3219.75,18335,1972.77,15955,1712.25,12090,1298.91,10158,1087.64,3032,326.67,0,0.0,-8759,-938.89
002205.SZ,20260703,28332,2966.04,21993,2302.36,9771,1022.78,16499,1727.8,4762,500.83,4373,459.48,0,0.0,0,0.0,4047,424.03
002205.SZ,20260702,25547,2637.6,21034,2174.72,8433,870.62,8780,905.8,2132,220.37,6298,648.08,0,0.0,0,0.0,840,90.01
002205.SZ,20260701,20489,2095.32,18737,1914.33,9246,945.79,8486,867.5,5141,524.52,7653,783.79,0,0.0,0,0.0,2356,241.46
002205.SZ,20260630,16896,1726.98,18778,1915.28,9349,953.73,8568,881.29,1517,155.34,1003,101.35,587,61.87,0,0.0,1271,136.63
002205.SZ,20260629,18438,1853.57,16181,1624.2,8409,841.3,8913,893.32,5946,597.17,7699,774.52,0,0.0,0,0.0,2093,207.72
002205.SZ,20260626,14748,1514.55,15130,1554.26,6221,638.58,6390,656.66,4566,468.83,4015,411.05,0,0.0,0,0.0,-634,-63.66
002205.SZ,20260625,17886,1882.74,18668,1964.75,10835,1136.99,8550,898.6,2156,226.05,2239,235.23,2177,228.12,3597,375.31,4940,514.83
002205.SZ,20260624,16026,1757.34,20403,2234.92,10557,1156.21,8435,923.95,4934,541.78,2679,296.46,0,0.0,0,0.0,-5998,-651.68
002205.SZ,20260623,22764,2606.19,21509,2466.83,13115,1501.08,9936,1139.98,2881,330.9,6391,728.38,0,0.0,924,102.97,609,58.97
002205.SZ,20260622,18931,2047.7,16919,1827.96,8600,930.68,10293,1116.25,6143,664.01,6093,662.74,1995,218.81,2363,254.26,2858,314.43
002205.SZ,20260618,15755,1728.29,15040,1650.96,8606,944.18,7885,863.73,4433,484.33,6158,673.93,1250,137.63,961,105.81,1202,131.9
002205.SZ,20260617,16709,1860.57,16346,1819.72,8789,976.7,7846,872.69,3817,423.37,3526,391.29,0,0.0,1596,176.95,-2581,-287.56
002205.SZ,20260616,18013,2028.0,15669,1765.92,9236,1040.39,7575,853.16,2328,261.42,6333,710.73,0,0.0,0,0.0,994,111.71
002205.SZ,20260615,18012,2084.53,17788,2057.28,12581,1452.35,13108,1517.19,6263,726.46,5960,688.86,0,0.0,0,0.0,-6227,-716.72
002205.SZ,20260612,14518,1714.07,13293,1571.18,8180,966.7,8279,977.88,2416,284.48,3542,416.19,0,0.0,0,0.0,102,16.31
002205.SZ,20260611,11207,1312.74,9667,1132.4,5092,595.41,5811,680.23,2764,323.74,3585,419.26,0,0.0,0,0.0,-163,-18.51
