ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
600552.SH,20260630,32.58,17.89,33.67,17.85,17.93,14.65,0.8171,2924379192.0,70558101342.0
600552.SH,20260529,17.93,15.7,20.99,15.62,15.54,2.39,0.1538,1700323009.0,31072982277.0
600552.SH,20260430,15.54,12.1,16.57,11.66,11.86,3.68,0.3103,1309954808.0,18809865514.0
600552.SH,20260331,11.86,14.7,14.85,11.4,15.04,-3.18,-0.2114,618374310.0,8082426642.0
600552.SH,20260227,15.04,14.53,15.51,14.2,14.54,0.5,0.0344,500289738.0,7414775283.0
600552.SH,20260130,14.54,12.4,16.77,12.09,12.4,2.14,0.1726,1385460909.0,20057766617.0
600552.SH,20251231,12.4,11.28,12.76,10.56,11.24,1.16,0.1032,516524801.0,6004004653.0
600552.SH,20251128,11.24,12.3,12.58,11.13,12.26,-1.02,-0.0832,263929857.0,3128445130.0
600552.SH,20251031,12.26,13.0,13.14,11.16,12.99,-0.73,-0.0562,360798523.0,4329183814.0
600552.SH,20250930,12.99,13.13,14.05,11.9,13.08,-0.09,-0.0069,862687887.0,11118501701.0
600552.SH,20250829,13.08,11.85,13.86,11.69,11.96,1.12,0.0936,802318901.0,10259224301.0
600552.SH,20250731,11.96,11.29,12.2,11.19,11.3,0.66,0.0584,415138836.0,4797937877.0
600552.SH,20250630,11.3,10.9,11.32,10.51,10.97,0.33,0.0301,261709325.0,2882196364.0
600552.SH,20250530,10.97,10.75,12.36,10.71,10.68,0.29,0.0272,554902056.0,6427109188.0
600552.SH,20250430,10.68,11.91,12.02,9.32,11.85,-1.17,-0.0987,474154840.0,5128432857.0
600552.SH,20250331,11.85,13.03,15.3,11.65,12.89,-1.04,-0.0807,1138184399.0,15387294909.0
600552.SH,20250228,12.89,11.16,13.63,11.03,11.01,1.88,0.1708,841853753.0,10742120892.0
600552.SH,20250127,11.01,11.41,11.5,10.11,11.41,-0.4,-0.0351,274901394.0,3013492788.0
600552.SH,20241231,11.41,12.29,12.71,11.41,12.31,-0.9,-0.0731,500828614.0,6091573100.0
600552.SH,20241129,12.31,13.15,14.78,11.63,13.3,-0.99,-0.0744,1183088913.0,15778903042.0
600552.SH,20241031,13.3,13.83,13.83,10.93,12.57,0.73,0.0581,1456768082.0,18346171297.0
600552.SH,20240930,12.57,14.08,16.7,10.09,13.41,-0.84,-0.0626,2568478571.0,33475887827.0
600552.SH,20240830,13.41,9.69,13.41,8.84,9.66,3.75,0.3882,1069872150.0,11669766619.0
600552.SH,20240731,9.66,9.43,9.76,8.58,9.43,0.23,0.0244,225570351.0,2073095539.0
600552.SH,20240628,9.43,10.17,10.17,8.82,10.05,-0.62,-0.0617,204538071.0,1950011334.0
600552.SH,20240531,10.05,11.13,11.47,9.76,10.95,-0.9,-0.0822,288269358.0,3034796471.0
600552.SH,20240430,10.95,12.81,13.33,10.42,13.07,-2.12,-0.1622,463914824.0,5500502340.0
600552.SH,20240329,13.07,10.76,13.07,10.46,10.74,2.33,0.2169,448394044.0,5274983860.0
600552.SH,20240229,10.74,9.73,11.16,8.28,9.74,1.0,0.1027,273280550.0,2771157132.0
600552.SH,20240131,9.74,13.33,13.39,9.6,13.33,-3.59,-0.2693,270071590.0,3089503191.0
600552.SH,20231229,13.33,12.96,13.48,12.19,12.94,0.39,0.0301,307716334.0,3935789455.0
600552.SH,20231130,12.94,11.53,13.72,11.41,11.51,1.43,0.1242,484227388.0,6268512240.0
600552.SH,20231031,11.51,11.05,12.0,10.34,11.03,0.48,0.0435,212275434.0,2391663475.0
600552.SH,20230928,11.03,10.33,11.95,10.28,10.33,0.7,0.0678,278064932.0,3082511456.0
600552.SH,20230831,10.33,11.81,11.91,9.38,11.86,-1.53,-0.129,234266753.0,2444649152.0
600552.SH,20230731,11.86,12.16,12.9,11.39,11.84,0.02,0.0017,344767737.0,4141109966.0
600552.SH,20230630,11.84,11.1,12.27,10.92,11.1,0.74,0.0667,322170706.0,3741225762.0
600552.SH,20230531,11.1,12.4,12.55,10.76,12.52,-1.42,-0.1134,306654087.0,3492459427.0
600552.SH,20230428,12.52,11.67,14.47,11.53,11.7,0.82,0.0701,425566674.0,5560932335.0
600552.SH,20230331,11.7,12.08,13.89,11.15,12.17,-0.47,-0.0386,604658462.0,7499317432.0
600552.SH,20230228,12.17,10.37,12.42,10.3,10.31,1.86,0.1804,370633113.0,4188242611.0
600552.SH,20230131,10.31,9.2,10.42,9.2,9.24,1.07,0.1158,135322742.0,1321266525.0
