ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
600693.SH,20260206,645117,103198.3,622078,99531.35,354846,56790.92,348987,55782.08,129958,20806.77,140985,22551.09,18253,2894.12,36124,5825.59,-220708,-35359.62
600693.SH,20260205,817435,135141.51,791385,130857.11,499813,82744.84,505367,83616.24,195948,32395.54,217201,35958.64,38741,6437.98,37984,6287.88,71743,13324.82
600693.SH,20260204,678540,106710.11,646801,101697.12,416545,65518.53,421791,66360.23,140549,22108.37,153179,24086.6,14881,2334.64,28745,4527.7,116335,18434.91
600693.SH,20260203,403929,61050.6,396157,59875.01,250363,37858.45,225230,34059.83,83483,12619.35,84090,12708.88,11077,1671.23,43376,6555.91,29256,4496.3
600693.SH,20260202,439560,66280.07,436844,65866.08,275238,41504.35,264506,39889.68,102762,15483.88,105973,15970.76,16072,2434.63,26310,3976.41,89871,13661.64
600693.SH,20260130,353948,52109.63,357929,52688.13,200240,29489.76,196940,29014.73,73576,10840.07,77126,11370.78,14700,2182.01,10469,1547.83,-27210,-3952.64
600693.SH,20260129,310278,44783.79,308752,44557.2,168614,24311.75,167353,24135.82,65465,9439.53,65591,9459.64,11416,1640.58,14077,2023.0,48615,7112.52
600693.SH,20260128,291887,41882.71,298264,42790.8,140446,20163.45,128621,18477.09,38918,5591.96,46155,6635.39,18515,2661.94,16726,2396.78,-74468,-10581.49
600693.SH,20260127,262506,38007.83,253587,36718.42,127837,18502.99,132929,19245.37,46794,6773.36,47866,6924.07,4566,662.04,7321,1058.37,27633,4069.22
600693.SH,20260126,360146,53217.2,361427,53421.0,173985,25776.55,174483,25859.87,55847,8292.83,66599,9874.61,27259,4048.5,14728,2179.61,-153537,-22663.87
600693.SH,20260123,372354,56439.58,386814,58679.14,195303,29617.62,188467,28574.93,70721,10739.17,67590,10238.74,17482,2672.85,12989,1976.41,48382,7328.08
600693.SH,20260122,253468,37065.41,239645,35049.4,116096,16971.13,126375,18478.65,39318,5750.09,41972,6129.71,6122,896.56,7012,1025.44,21508,3180.02
600693.SH,20260121,389224,56942.53,364579,53321.21,174319,25491.33,187709,27458.98,57193,8369.64,70785,10358.76,20088,2933.94,17751,2598.5,-39870,-5775.92
600693.SH,20260120,399800,61073.98,394245,60228.61,229326,35087.11,231501,35413.92,68798,10524.18,75731,11589.2,15861,2422.2,12307,1875.74,-101810,-15364.66
600693.SH,20260119,409274,63319.98,404203,62542.25,202376,31287.56,202582,31321.6,63194,9767.85,66760,10306.99,10923,1687.07,12221,1891.62,-60974,-9387.1
600693.SH,20260116,612114,94028.58,594748,91493.5,336152,51689.31,330136,50757.85,110793,17070.25,126909,19456.52,28394,4387.31,35661,5467.58,-4083,-580.31
600693.SH,20260115,658514,105423.17,636982,101890.36,341890,54713.63,351240,56267.79,110751,17781.9,126193,20243.58,27112,4278.8,23852,3795.78,-155093,-24508.08
600693.SH,20260114,820614,143187.86,783593,136769.44,436729,76312.3,454146,79316.27,149946,26206.62,165132,28845.53,44409,7729.06,48827,8504.61,-200635,-35058.28
600693.SH,20260113,920079,188556.26,818735,167864.42,559360,115546.7,568313,117058.84,210266,43672.99,275874,57078.91,54639,11255.99,81422,17029.77,-197268,-39415.23
600693.SH,20260112,908979,180530.53,888177,176453.69,592530,117856.29,599367,119141.05,241847,48135.29,259864,51723.25,87047,17242.29,82995,16446.4,27606,6274.36
600693.SH,20260109,951871,184564.04,954934,185220.21,604669,117331.26,616637,119574.78,267470,51764.57,268886,52010.32,72609,13988.71,56163,10843.27,38662,7751.04
600693.SH,20260108,1107453,200419.23,1081539,195608.26,618872,112470.17,611671,111117.44,223492,40704.23,262468,47951.0,58528,10603.03,52667,9519.95,-4893,1197.93
600693.SH,20260107,842245,150272.9,832417,148475.67,499922,89234.05,482370,86054.12,195636,34852.98,206861,36911.88,38279,6789.04,54434,9707.29,12450,2939.4
600693.SH,20260106,895653,159974.21,871332,155573.57,533692,95391.46,546488,97706.81,232070,41509.01,228596,40943.48,64065,11463.17,79066,14114.0,-200179,-35534.57
600693.SH,20260105,684823,126175.48,680802,125339.89,437804,80609.15,437490,80493.92,190790,35036.94,199016,36629.17,78442,14343.78,74552,13702.36,81415,15184.04
600693.SH,20251231,689868,122552.25,676180,120065.01,414073,73573.97,409104,72625.78,177182,31448.25,193812,34462.46,58287,10355.62,60314,10776.85,14836,2781.35
600693.SH,20251230,943977,171207.84,956394,173413.98,519512,94250.24,543056,98507.33,229991,41716.66,233937,42488.86,91594,16653.47,51688,9418.05,-120740,-21612.99
600693.SH,20251229,1147474,232743.71,1026341,208126.77,619104,125949.07,622623,126686.71,274196,55914.1,316250,64585.31,74881,15445.26,150441,30653.35,-316391,-63601.14
600693.SH,20251226,885878,193296.48,851143,185569.18,564282,122997.21,591431,128920.32,298026,64781.29,310630,67556.63,143651,31104.74,138634,30133.59,74048,16555.97
600693.SH,20251225,1053393,229872.05,976337,213298.23,692139,151344.56,677646,148113.45,367476,80341.63,383666,83923.27,191916,42085.99,267275,58309.29,-271342,-58955.25
600693.SH,20251224,836388,176334.93,866194,182664.49,678623,143051.43,728099,153532.39,419394,88428.66,430763,90802.33,279082,58857.6,188431,39673.4,-150236,-32195.31
600693.SH,20251223,965748,189105.95,905715,177338.15,712133,139540.13,718104,140727.02,387337,75859.35,373096,73054.26,164642,32163.28,232945,45549.27,-1036,494.4
600693.SH,20251222,726569,129514.4,746164,133323.77,538132,96137.36,577375,103299.33,336323,60346.5,341206,61160.22,290806,52478.62,227085,40693.57,-90957,-16588.33
600693.SH,20251219,587442,105115.26,610331,109837.82,485439,86993.26,512063,92198.64,298357,53504.5,333434,59877.62,299972,54580.51,215383,38279.45,-121060,-22132.39
