ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
603703.SH,20260630,11.1,12.57,13.7,10.28,12.51,-1.41,-0.1127,312652499.0,3743138877.0
603703.SH,20260529,12.51,13.88,15.04,12.4,13.68,-1.17,-0.0855,221617689.0,3122001606.0
603703.SH,20260430,13.68,12.63,14.22,12.08,12.37,1.31,0.1059,215411170.0,2869341305.0
603703.SH,20260331,12.37,14.97,15.1,11.26,15.2,-2.83,-0.1862,243495635.0,3194159399.0
603703.SH,20260227,15.2,14.58,15.25,14.32,14.45,0.75,0.0519,155195024.0,2293445050.0
603703.SH,20260130,14.45,14.65,20.0,14.2,14.58,-0.13,-0.0089,967833152.0,16195602940.0
603703.SH,20251231,14.58,11.72,17.01,11.54,11.74,2.84,0.2419,842978528.0,11708523847.0
603703.SH,20251128,11.74,12.7,12.98,11.03,12.71,-0.97,-0.0763,247949428.0,2979356438.0
603703.SH,20251031,12.71,11.23,13.38,10.78,11.23,1.48,0.1318,414045905.0,4999245636.0
603703.SH,20250930,11.23,10.55,11.85,9.71,10.55,0.68,0.0645,339297031.0,3622392018.0
603703.SH,20250829,10.55,10.34,11.19,10.16,10.36,0.19,0.0183,217584070.0,2336750633.0
603703.SH,20250731,10.36,10.39,10.8,10.16,10.37,-0.01,-0.001,177376407.0,1855872868.0
603703.SH,20250630,10.37,10.23,10.68,9.65,10.23,0.14,0.0137,127140538.0,1298753136.0
603703.SH,20250530,10.23,10.57,11.62,10.19,10.4,-0.17,-0.0163,125733484.0,1358967379.0
603703.SH,20250430,10.4,11.2,11.57,8.46,11.13,-0.73,-0.0656,124052516.0,1232720870.0
603703.SH,20250331,11.13,12.65,13.11,10.89,12.63,-1.5,-0.1188,169250254.0,2110105189.0
603703.SH,20250228,12.63,11.49,14.2,11.4,11.34,1.29,0.1138,389904511.0,5020076499.0
603703.SH,20250127,11.34,11.11,12.29,10.3,11.01,0.33,0.03,179752344.0,2060311364.0
603703.SH,20241231,11.01,12.7,13.06,10.28,12.62,-1.61,-0.1276,191239572.0,2241223044.0
603703.SH,20241129,12.62,11.03,13.97,10.47,11.04,1.58,0.1431,316046171.0,3905233196.0
603703.SH,20241031,11.04,11.15,11.19,8.9,10.22,0.82,0.0802,266979389.0,2712505752.0
603703.SH,20240930,10.22,9.4,10.29,8.48,9.46,0.76,0.0803,98781510.0,913786994.0
603703.SH,20240830,9.46,9.26,10.41,8.88,9.28,0.18,0.0194,160427201.0,1545970753.0
603703.SH,20240731,9.28,10.08,10.23,8.55,10.03,-0.75,-0.0748,70160507.0,644521738.0
603703.SH,20240628,10.03,10.17,10.52,9.13,10.17,-0.14,-0.0138,105827517.0,1042399396.0
603703.SH,20240531,10.17,10.62,11.65,10.0,10.6,-0.43,-0.0406,94323240.0,1028781162.0
603703.SH,20240430,10.6,11.11,11.35,9.14,11.0,-0.4,-0.0364,77697171.0,791414651.0
603703.SH,20240329,11.0,11.3,12.35,10.7,11.35,-0.35,-0.0308,109114044.0,1256811457.0
603703.SH,20240229,11.35,9.48,11.35,8.34,9.61,1.74,0.1811,57785477.0,579183192.0
603703.SH,20240131,9.61,12.71,12.86,9.6,12.81,-3.2,-0.2498,68688460.0,779255723.0
603703.SH,20231229,12.81,12.8,13.03,11.54,12.8,0.01,0.0008,96853020.0,1199178730.0
603703.SH,20231130,12.8,11.2,12.98,11.02,11.18,1.62,0.1449,165883331.0,2034498871.0
603703.SH,20231031,11.18,11.04,11.66,10.85,11.04,0.14,0.0127,72578762.0,818493361.0
603703.SH,20230928,11.04,10.3,11.33,10.08,10.32,0.72,0.0698,107740394.0,1164381917.0
603703.SH,20230831,10.32,10.15,10.95,9.75,10.13,0.19,0.0188,125125540.0,1287356997.0
603703.SH,20230731,10.13,11.29,11.45,9.54,11.33,-1.2,-0.1059,182508424.0,1843646357.0
603703.SH,20230630,11.33,14.64,15.04,10.66,14.62,-3.29,-0.225,132560725.0,1610243855.0
603703.SH,20230531,14.62,14.8,14.9,13.57,14.82,-0.2,-0.0135,34808846.0,492651034.0
603703.SH,20230428,14.82,15.0,15.75,14.07,15.03,-0.21,-0.014,58140221.0,874537126.0
603703.SH,20230331,15.03,16.6,17.22,14.93,16.68,-1.65,-0.0989,89976710.0,1445164825.0
603703.SH,20230228,16.68,15.6,17.18,15.54,15.6,1.08,0.0692,74356876.0,1214286241.0
603703.SH,20230131,15.6,14.2,16.6,14.19,14.24,1.36,0.0955,79586728.0,1242279555.0
