ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
603019.SH,20260708,336877,332189.36,352165,347397.76,409234,403777.11,408486,403076.82,306201,302307.22,298113,294297.12,153826,151994.37,147375,145496.35,68675,69030.25
603019.SH,20260707,199153,188570.35,213654,202324.78,215200,203643.99,203907,193100.91,132998,125959.79,125123,118506.72,52643,49940.1,57310,54181.82,-33711,-31215.54
603019.SH,20260706,243381,228669.89,268332,252233.24,271517,255195.31,277647,261030.0,206692,194533.24,182741,171849.28,89648,84195.45,82517,77481.37,-40207,-36929.9
603019.SH,20260703,248189,234241.41,260145,245695.93,282210,266374.97,281242,265533.25,185836,175637.17,176988,167160.75,73885,69772.63,71745,67636.26,-80241,-74978.32
603019.SH,20260702,308924,299893.45,296622,288131.5,338748,328756.19,326476,316879.89,205596,199648.1,215489,209127.29,87679,85072.81,102361,99231.87,-45371,-43591.68
603019.SH,20260701,400637,421048.31,374520,393494.29,483306,508227.68,481380,505727.29,325861,343196.58,344174,361907.62,214942,226074.76,224672,237418.13,-206597,-214862.88
603019.SH,20260630,373943,392020.13,355963,372869.31,509401,534317.2,495256,518821.07,367987,385737.18,368279,386254.21,212477,223172.66,244310,257302.58,399022,422055.57
603019.SH,20260629,271819,266118.54,262962,257426.49,339288,332105.36,335924,328940.51,242696,237502.41,254755,249372.65,123114,120482.51,123275,120469.17,-46167,-44400.29
603019.SH,20260626,386266,382488.49,373907,370344.11,529095,524340.97,505055,500684.86,392883,389396.56,377661,374368.33,200448,198671.54,252070,249500.26,-8547,-6395.63
603019.SH,20260625,350123,332340.59,349876,332418.19,456142,433217.71,493075,469115.27,297788,283111.62,323429,307874.49,213406,205013.04,151080,144275.01,245231,233323.81
603019.SH,20260624,167763,146501.27,168789,147514.54,192161,167879.65,191838,167643.72,112550,98409.56,106799,93373.33,45962,40156.23,51010,44415.12,39916,35323.95
603019.SH,20260623,182691,162995.29,187924,167562.47,208885,186294.13,191410,170871.14,105359,93897.42,112931,100684.77,40472,36091.81,45141,40160.27,-42164,-36840.92
603019.SH,20260622,175939,154847.74,163620,144028.06,192927,169816.31,185346,163212.02,99810,87900.67,110950,97676.7,32109,28330.92,40870,35978.86,-30214,-26306.57
603019.SH,20260618,171958,151296.33,166819,146851.6,211452,186137.59,208796,183823.45,130157,114701.87,133221,117388.51,49518,43622.21,54250,47694.45,55708,49159.9
603019.SH,20260617,146605,125293.51,147704,126282.28,170206,145506.53,175241,149861.17,90760,77562.77,91194,77947.88,34402,29464.91,27832,23736.4,61806,53147.06
603019.SH,20260616,117586,99437.93,124147,104955.92,144411,122145.59,132898,112409.56,75369,63753.14,75999,64307.08,25958,21976.62,30280,25640.73,-76446,-64562.8
603019.SH,20260615,131970,111341.51,139665,117873.75,158276,133543.7,157484,132861.5,87415,73749.96,79168,66762.41,26790,22571.05,28135,23708.56,46031,38946.79
603019.SH,20260612,115789,95645.79,118913,98232.84,137342,113466.42,133736,110509.77,71667,59251.39,69812,57705.22,25043,20699.26,27379,22615.02,-1068,-801.13
603019.SH,20260611,121295,98617.15,119587,97262.68,114209,92856.52,114562,93152.98,57110,46429.13,60332,49045.61,26979,21969.62,25112,20411.15,-36905,-29997.12
603019.SH,20260610,218154,183439.33,216348,181852.59,235868,198185.59,236752,198996.64,133093,111789.29,129306,108572.5,59391,49826.13,64100,53818.62,-15037,-11896.28
603019.SH,20260609,124624,99431.67,119373,95225.36,106146,84748.55,109909,87761.12,57392,45804.4,54030,43107.26,18133,14448.31,22984,18339.2,19580,15769.19
603019.SH,20260608,178763,141843.62,168162,133450.45,138672,110074.24,130836,103846.37,78515,62293.3,79934,63402.68,31274,24799.76,48291,38311.42,-27349,-21716.09
603019.SH,20260605,141674,117870.61,133241,110873.61,140163,116619.59,137139,114156.51,68693,57160.52,73561,61227.6,35892,29930.19,42481,35323.2,-27400,-22649.03
603019.SH,20260604,123513,104929.4,124564,105829.18,122634,104173.51,115841,98390.97,61986,52695.61,63152,53685.99,31243,26519.36,35818,30411.75,-43682,-36933.6
603019.SH,20260603,158231,137947.47,162569,141806.55,163788,142812.41,160421,139942.11,87616,76475.56,79669,69454.96,37978,33082.29,44954,39114.11,-8625,-7248.93
603019.SH,20260602,136134,115909.41,135385,115307.27,141453,120439.35,142212,121133.53,74175,63159.01,74696,63623.06,34581,29553.97,34050,28997.87,6242,5427.29
603019.SH,20260601,133537,116849.34,139116,121826.5,143023,125176.39,136355,119423.92,80716,70807.49,83421,73044.01,46283,40529.96,44666,39068.75,-45046,-39131.84
603019.SH,20260529,184137,166562.67,184089,166580.0,198583,179643.72,189650,171734.52,101598,92138.2,107212,97142.92,47167,42931.34,50535,45818.48,-100664,-90185.82
