ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
002873.SZ,20260430,55959,5608.37,54915,5510.17,32798,3285.68,46732,4688.58,17323,1739.76,24608,2469.15,27588,2782.14,7413,748.04,14507,1448.71
002873.SZ,20260429,41356,4056.16,41158,4034.75,27921,2735.37,33773,3310.95,19041,1867.03,14587,1431.17,1200,118.31,0,0.0,29178,2859.56
002873.SZ,20260428,44407,4298.02,38260,3704.26,32910,3184.77,31707,3068.92,14941,1446.34,18790,1819.86,0,0.0,3500,336.09,7937,772.34
002873.SZ,20260427,41166,3909.58,34812,3304.65,25708,2440.61,33577,3190.29,12259,1165.97,12078,1148.32,1335,127.09,0,0.0,15722,1507.16
002873.SZ,20260424,24567,2307.52,29334,2754.83,19524,1832.78,22050,2070.23,12694,1191.75,5820,546.34,419,39.34,0,0.0,316,35.04
002873.SZ,20260423,32592,3066.4,25601,2409.46,25773,2426.88,28646,2695.32,11343,1067.26,15766,1483.94,2517,236.85,2213,208.66,-12632,-1188.03
002873.SZ,20260422,27845,2645.77,26515,2520.45,21799,2070.67,23431,2225.71,10560,1003.46,10258,973.74,0,0.0,0,0.0,-5747,-541.97
002873.SZ,20260421,31981,3066.96,25919,2485.61,23250,2230.0,23544,2256.98,10997,1053.69,16645,1596.47,0,0.0,120,11.58,-7262,-693.43
002873.SZ,20260420,36738,3525.88,33797,3244.96,27487,2638.38,29968,2876.64,13457,1293.44,14994,1439.27,1077,103.18,0,0.0,-1490,-134.34
002873.SZ,20260417,72351,6978.61,49193,4744.09,50305,4851.38,54027,5215.08,18583,1794.61,29953,2891.09,0,0.0,8066,774.33,-39551,-3813.69
002873.SZ,20260416,67943,6674.46,50467,4959.43,55565,5455.92,58826,5777.04,18698,1835.68,34290,3366.6,4285,421.59,2908,284.6,-16973,-1646.91
002873.SZ,20260415,76097,7578.61,76778,7650.65,78487,7821.58,74794,7454.15,45008,4487.5,42196,4202.67,9639,962.54,15463,1542.76,31975,3206.51
002873.SZ,20260414,76274,7484.09,53713,5274.42,54561,5353.65,64776,6356.63,30557,2997.71,38093,3733.95,0,0.0,4810,470.44,-11230,-1095.79
002873.SZ,20260413,105663,10372.65,70354,6912.76,78543,7712.09,79953,7848.58,37231,3651.77,47076,4619.8,4778,468.78,28832,2824.15,893,97.86
002873.SZ,20260410,176311,17956.37,129807,13217.89,151756,15460.67,147654,15053.73,77432,7915.11,126852,12933.8,12944,1326.54,14130,1453.27,-144747,-14710.57
002873.SZ,20260409,180362,19537.01,162800,17659.05,189801,20562.89,169862,18422.1,124013,13425.79,147001,15891.28,32231,3476.69,46745,5029.94,-63982,-6949.67
002873.SZ,20260408,254066,30002.75,215184,25123.29,222262,26388.68,172942,20494.02,133829,16048.74,165253,19830.91,114301,14674.8,171080,21666.74,-308630,-38749.42
002873.SZ,20260407,52616,6033.12,109623,12696.7,79054,9082.65,102935,11965.02,95522,11083.54,82702,9618.24,134845,15958.93,66777,7878.27,-117214,-13993.32
002873.SZ,20260403,104287,11176.0,160785,17234.88,107952,11562.11,90390,9688.53,77042,8266.61,55989,5989.13,27402,2911.76,9519,1003.95,20763,2255.9
002873.SZ,20260402,51454,5349.61,58980,6136.87,33213,3455.79,37778,3938.07,28533,2979.06,15502,1618.54,2499,262.06,3439,353.04,9146,955.77
002873.SZ,20260401,44939,4595.81,43146,4414.56,21643,2216.85,23224,2377.31,5718,587.28,8430,866.06,2500,257.99,0,0.0,5330,551.63
002873.SZ,20260331,37781,3856.36,41230,4206.33,25934,2646.97,21936,2240.9,7318,747.91,7426,758.49,1939,197.83,2380,243.36,-1811,-182.62
002873.SZ,20260330,38934,3929.34,34847,3517.43,15698,1583.29,18921,1907.92,2746,276.84,3610,364.11,0,0.0,0,0.0,-806,-76.4
002873.SZ,20260327,36181,3584.66,30273,2995.92,18403,1820.8,23059,2284.59,7658,756.65,8910,881.61,0,0.0,0,0.0,14398,1424.28
002873.SZ,20260326,30304,2929.79,28326,2739.66,11004,1064.02,14191,1371.73,3099,300.82,1890,183.25,0,0.0,0,0.0,-7224,-692.57
002873.SZ,20260325,39432,3834.13,32740,3184.8,15389,1495.04,21771,2114.81,4435,430.53,5831,566.41,1086,106.32,0,0.0,1523,148.56
002873.SZ,20260324,58320,5432.73,46206,4306.25,28491,2654.55,33574,3129.74,6645,614.6,10583,984.07,2720,253.0,5812,534.82,12108,1128.1
002873.SZ,20260323,58220,5350.52,65774,6046.46,33886,3120.38,27608,2540.14,8854,813.66,10709,979.65,3131,281.69,0,0.0,-10405,-964.47
002873.SZ,20260320,37946,3768.29,39003,3870.35,19870,1970.93,18535,1841.26,4620,459.8,4898,487.42,0,0.0,0,0.0,-9088,-893.8
002873.SZ,20260319,28823,2952.07,28213,2890.37,13717,1408.56,12234,1256.26,1620,167.43,3713,381.43,0,0.0,0,0.0,-11470,-1173.19
002873.SZ,20260318,28701,2969.75,26581,2751.18,12470,1291.04,13622,1410.23,3973,411.6,4942,510.97,0,0.0,0,0.0,3297,348.33
002873.SZ,20260317,22837,2367.56,19869,2061.29,10749,1114.68,12785,1325.33,4385,453.7,5091,525.85,0,0.0,226,23.47,-8282,-855.03
002873.SZ,20260316,23859,2483.31,23507,2445.81,9408,978.38,9506,990.56,3709,386.28,3963,411.6,0,0.0,0,0.0,-1100,-113.45
