ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002025.SZ,20260605,67.91,67.91,64.27,64.8,67.91,-3.11,-4.5796,229901.86,1507592.613
002025.SZ,20260604,66.65,69.9,66.51,67.91,65.24,2.67,4.0926,342862.19,2341900.418
002025.SZ,20260603,60.75,66.83,60.66,65.24,60.75,4.49,7.3909,317215.57,2024852.624
002025.SZ,20260602,62.0,62.01,58.99,60.75,61.42,-0.67,-1.0908,180827.25,1096112.755
002025.SZ,20260601,65.16,65.97,61.3,61.42,65.15,-3.73,-5.7252,182179.78,1153005.721
002025.SZ,20260529,70.39,71.3,64.85,65.15,70.51,-5.36,-7.6018,216666.51,1458567.931
002025.SZ,20260528,69.83,71.5,68.38,70.51,69.49,1.02,1.4678,181541.97,1274807.428
002025.SZ,20260527,73.54,76.3,69.18,69.49,73.5,-4.01,-5.4558,265341.76,1928777.914
002025.SZ,20260526,76.0,77.5,72.32,73.5,76.7,-3.2,-4.1721,225589.33,1674873.959
002025.SZ,20260525,75.2,77.6,73.35,76.7,74.8,1.9,2.5401,293797.84,2234616.368
002025.SZ,20260522,73.0,76.22,70.64,74.8,72.22,2.58,3.5724,249481.4,1853967.232
002025.SZ,20260521,73.96,78.93,72.02,72.22,73.61,-1.39,-1.8883,378651.27,2834262.131
002025.SZ,20260520,73.53,75.32,71.44,73.61,72.91,0.7,0.9601,240257.74,1761885.768
002025.SZ,20260519,67.8,73.41,66.4,72.91,68.0,4.91,7.2206,321288.86,2259699.96
002025.SZ,20260518,69.51,71.54,67.74,68.0,69.41,-1.41,-2.0314,253192.65,1766168.531
002025.SZ,20260515,69.9,71.23,67.6,69.41,70.26,-0.85,-1.2098,207349.03,1433778.203
002025.SZ,20260514,75.1,75.88,70.23,70.26,73.79,-3.53,-4.7838,225378.68,1629087.664
002025.SZ,20260513,74.1,74.57,72.04,73.79,74.9,-1.11,-1.482,235087.8,1725037.353
002025.SZ,20260512,76.36,77.95,73.82,74.9,76.36,-1.46,-1.912,252472.52,1896747.378
002025.SZ,20260511,76.68,78.01,74.79,76.36,75.7,0.66,0.8719,307181.62,2352450.252
002025.SZ,20260508,76.76,76.9,75.0,75.7,77.32,-1.62,-2.0952,227558.52,1724237.975
002025.SZ,20260507,76.4,77.88,75.09,77.32,76.4,0.92,1.2042,257041.03,1974529.649
002025.SZ,20260506,75.0,77.59,74.0,76.4,73.19,3.21,4.3858,370080.35,2829797.231
002025.SZ,20260430,68.7,74.44,67.95,73.19,67.67,5.52,8.1572,428140.67,3069809.988
002025.SZ,20260429,68.12,69.65,67.44,67.67,69.27,-1.6,-2.3098,205004.91,1396932.045
002025.SZ,20260428,73.03,73.4,69.23,69.27,74.49,-5.22,-7.0077,293420.22,2068952.12
002025.SZ,20260427,76.0,76.02,70.94,74.49,76.81,-2.32,-3.0204,330556.45,2422222.238
002025.SZ,20260424,73.0,80.43,69.8,76.81,73.6,3.21,4.3614,545923.98,4107723.623
002025.SZ,20260423,75.08,76.28,72.5,73.6,76.45,-2.85,-3.7279,281890.19,2089592.336
002025.SZ,20260422,73.83,77.32,73.03,76.45,74.31,2.14,2.8798,326372.39,2465403.221
002025.SZ,20260421,79.1,79.1,74.01,74.31,80.46,-6.15,-7.6435,416557.88,3139166.857
002025.SZ,20260420,78.97,83.63,78.81,80.46,79.76,0.7,0.8776,410726.71,3321830.389
002025.SZ,20260417,76.9,80.86,76.4,79.76,76.3,3.46,4.5347,383024.85,3024439.19
002025.SZ,20260416,78.33,78.78,75.52,76.3,79.67,-3.37,-4.2299,399593.71,3068006.404
002025.SZ,20260415,78.9,82.58,76.65,79.67,78.68,0.99,1.2583,408284.75,3250582.997
002025.SZ,20260414,77.0,81.75,75.22,78.68,77.36,1.32,1.7063,369227.3,2887976.141
002025.SZ,20260413,76.3,81.01,76.3,77.36,76.23,1.13,1.4824,347816.17,2713350.943
002025.SZ,20260410,76.66,77.29,74.2,76.23,78.22,-1.99,-2.5441,406008.41,3079709.699
002025.SZ,20260409,70.39,78.22,70.39,78.22,71.11,7.11,9.9986,268439.08,2045586.295
002025.SZ,20260408,71.03,72.5,69.0,71.11,66.72,4.39,6.5797,384806.84,2713832.305
002025.SZ,20260407,62.93,66.72,62.6,66.72,60.65,6.07,10.0082,332969.02,2176888.115
