date,time,code,name,action,qty,price,amount,fee,tax,other_fee,account,cost,side
2025-10-31,14:52:09,002463,沪电股份,证券买入,700,70.99,49693.0,2.78,0.0,3.18,账户2,5.96,B
2025-11-05,10:29:46,603259,药明康德,证券买入,500,94.91,47455.0,3.12,0.0,3.04,账户2,6.16,B
2025-11-13,14:42:07,603259,药明康德,证券卖出,300,96.65,28995.0,3.43,14.5,1.86,账户2,19.79,S
2025-11-14,11:11:15,002463,沪电股份,证券买入,500,62.06,31030.0,3.03,0.0,1.97,账户2,5.0,B
2025-11-17,14:00:54,603259,药明康德,证券买入,500,92.93,46465.0,3.07,0.0,2.97,账户2,6.04,B
2025-11-21,14:19:17,603083,剑桥科技,证券买入,500,99.03,49515.0,3.26,0.0,3.18,账户2,6.4399999999999995,B
2025-11-26,10:16:20,002463,沪电股份,证券卖出,1000,70.97,70970.0,4.0,35.49,4.52,账户2,44.010000000000005,S
2025-11-26,10:39:30,002463,沪电股份,证券卖出,200,71.41,14282.0,4.08,7.14,0.92,账户2,12.139999999999999,S
2025-11-26,11:00:52,603083,剑桥科技,证券卖出,300,101.99,30597.0,3.35,15.3,1.96,账户2,20.610000000000003,S
2025-11-26,11:08:33,603083,剑桥科技,证券卖出,200,102.97,20594.0,3.89,10.3,1.32,账户2,15.510000000000002,S
2025-11-27,09:37:53,603259,药明康德,证券买入,500,91.62,45810.0,3.02,0.0,2.94,账户2,5.96,B
2025-11-27,10:15:13,603259,药明康德,证券买入,300,92.6,27780.0,3.49,0.0,1.79,账户2,5.28,B
2025-11-27,10:15:58,603259,药明康德,证券买入,200,92.51,18502.0,4.0,0.0,1.19,账户2,5.1899999999999995,B
2025-11-27,10:28:20,600111,北方稀土,证券买入,900,45.0,40500.0,2.81,0.0,2.6,账户2,5.41,B
2025-12-19,10:57:29,600151,航天机电,证券买入,200,18.72,3744.0,4.8,0.0,0.24,账户2,5.04,B
2025-12-19,13:50:48,600111,北方稀土,证券卖出,500,45.04,22520.0,3.79,11.25,1.45,账户2,16.49,S
2025-12-19,13:58:58,601138,工业富联,证券买入,400,58.39,23356.0,3.73,0.0,1.5,账户2,5.23,B
2025-12-24,09:38:10,601138,工业富联,证券卖出,400,65.49,26196.0,3.59,13.1,1.67,账户2,18.36,S
2025-12-24,10:31:42,600151,航天机电,证券卖出,200,15.69,3138.0,4.83,1.57,0.2,账户2,6.6000000000000005,S
