code,name,open_date,qty,buy_price
002552,宝鼎科技,2026-07-03,1500,62.81
002552,宝鼎科技,2026-07-06,600,64.08
002552,宝鼎科技,2026-07-06,1600,60.1
300136,信维通信,2026-07-07,400,96.18
300136,信维通信,2026-07-07,800,94.543
300723,一品红,2026-07-06,100,42.5
600567,山鹰国际,2026-07-07,28500,1.37
600745,*ST闻泰,2026-07-07,4500,18.1
600745,*ST闻泰,2026-07-08,3700,17.487
