code,name,open_date,close_date,hold_days,qty,buy_price,sell_price,pnl_gross,cost,pnl_net,pnl_pct
000012,南  玻Ａ,2026-05-25,2026-05-27,2,2200,4.63,4.42,-462.0,11.08,-473.08,-4.54
000012,南  玻Ａ,2026-05-25,2026-05-27,2,2200,4.63,4.42,-462.0,11.08,-473.08,-4.54
000012,南  玻Ａ,2026-05-25,2026-05-28,3,15500,4.63,4.33,-4650.0,50.22,-4700.22,-6.48
000027,深圳能源,2026-03-27,2026-03-31,4,3600,7.7,7.252,-1612.8,23.06,-1635.86,-5.82
000034,神州数码,2026-05-29,2026-06-01,3,500,27.33,27.35,10.0,16.84,-6.84,0.07
000520,凤凰航运,2026-06-01,2026-06-03,2,4500,3.86,3.79,-315.0,18.53,-333.53,-1.81
000547,航天发展,2026-01-13,2026-01-14,1,1100,36.96,32.88,-4488.0,27.42,-4515.42,-11.04
000547,航天发展,2026-01-13,2026-01-14,1,4100,36.378,32.88,-14341.8,101.46,-14443.26,-9.62
000617,中油资本,2026-03-31,2026-04-01,1,6200,10.4,10.05,-2170.0,46.38,-2216.38,-3.37
000630,铜陵有色,2026-03-16,2026-03-17,1,3900,6.49,6.61,468.0,22.89,445.11,1.85
000678,襄阳轴承,2026-04-01,2026-04-02,1,4100,12.9,12.93,123.0,39.2,83.8,0.23
000720,新能泰山,2026-04-10,2026-04-14,4,4600,5.45,5.18,-1242.0,19.82,-1261.82,-4.95
000720,新能泰山,2026-04-13,2026-04-14,1,3300,5.21,5.18,-99.0,15.64,-114.64,-0.58
000725,京东方Ａ,2026-05-27,2026-05-28,1,3500,5.65,5.68,105.0,19.94,85.06,0.53
000737,北方铜业,2026-02-05,2026-02-09,4,1400,16.94,16.53,-574.0,21.57,-595.57,-2.42
000759,中百集团,2025-12-24,2025-12-30,6,22200,9.07,7.67,-31080.0,129.68,-31209.68,-15.44
000792,盐湖股份,2026-02-26,2026-03-04,6,1500,39.004,36.69,-3471.0,41.14,-3512.14,-5.93
000798,中水渔业,2026-03-16,2026-03-17,1,900,11.8,11.282,-466.2,15.06,-481.26,-4.39
000859,国风新材,2026-06-11,2026-06-15,4,2700,11.02,11.11,243.0,23.57,219.43,0.82
000859,国风新材,2026-06-11,2026-06-15,4,2700,11.02,11.15,351.0,23.63,327.37,1.18
000889,中嘉博创,2026-04-16,2026-04-22,6,10500,4.57,4.6,315.0,35.71,279.29,0.66
000889,中嘉博创,2026-04-20,2026-04-22,2,6400,5.11,4.6,-3264.0,23.25,-3287.25,-9.98
000889,中嘉博创,2026-04-20,2026-04-22,2,1900,5.11,4.6,-969.0,10.42,-979.42,-9.98
000889,中嘉博创,2026-04-22,2026-04-27,5,100,4.61,4.54,-7.0,10.23,-17.23,-1.52
000890,法尔胜,2026-04-03,2026-04-07,4,600,15.73,17.61,1128.0,12.59,1115.41,11.95
000890,法尔胜,2026-04-03,2026-04-07,4,700,16.01,17.61,1120.0,13.86,1106.14,9.99
000890,法尔胜,2026-04-10,2026-04-14,4,100,14.26,12.64,-162.0,10.63,-172.63,-11.36
000962,东方钽业,2026-04-10,2026-04-14,4,400,45.77,44.84,-372.0,18.97,-390.97,-2.03
000990,诚志股份,2026-04-29,2026-04-30,1,4000,12.8,12.576,-896.0,37.34,-933.34,-1.75
001208,华菱线缆,2026-01-07,2026-01-09,2,1700,26.01,29.23,5474.0,36.1,5437.9,12.38
001208,华菱线缆,2026-01-21,2026-01-22,1,1100,22.86,22.74,-132.0,22.51,-154.51,-0.52
001309,德明利,2026-03-04,2026-03-05,1,100,251.17,260.93,976.0,23.05,952.95,3.89
002015,协鑫能科,2026-04-08,2026-04-10,2,1700,17.91,17.6,-527.0,24.96,-551.96,-1.73
002025,航天电器,2026-03-18,2026-03-24,6,600,59.81,67.04,4338.0,29.42,4308.58,12.09
002025,航天电器,2026-03-18,2026-03-26,8,300,59.81,63.18,1011.0,16.63,994.37,5.63
002025,航天电器,2026-04-02,2026-04-07,5,200,60.95,64.325,675.0,16.44,658.56,5.54
