date,time,code,name,action,qty,price,amount,fee,tax,other_fee,account,cost,side
2026-05-06,09:47:09,600251,冠农股份,证券买入,1900,12.84,24396.0,5.0,0.0,0.24,账户4,5.24,B
2026-05-06,09:47:13,600338,西藏珠峰,证券买入,900,26.84,24156.0,5.0,0.0,0.24,账户4,5.24,B
2026-05-06,09:53:43,600338,西藏珠峰,证券买入,900,26.83,24147.0,5.0,0.0,0.24,账户4,5.24,B
2026-05-06,09:55:44,600338,西藏珠峰,证券买入,900,26.776,24098.0,5.0,0.0,0.24,账户4,5.24,B
2026-05-06,09:57:44,600338,西藏珠峰,证券买入,900,26.8,24120.0,5.0,0.0,0.24,账户4,5.24,B
2026-05-06,09:58:44,600338,西藏珠峰,证券买入,900,26.86,24174.0,5.0,0.0,0.24,账户4,5.24,B
2026-05-06,13:55:50,600433,冠豪高新,证券买入,3400,4.82,16388.0,5.0,0.0,0.16,账户4,5.16,B
2026-05-07,09:30:43,601339,百隆东方,证券买入,2600,9.11,23686.0,5.0,0.0,0.23,账户4,5.23,B
2026-05-07,09:30:43,601939,建设银行,证券买入,2500,9.76,24400.0,5.0,0.0,0.25,账户4,5.25,B
2026-05-07,10:54:01,600251,冠农股份,证券卖出,1900,12.63,23997.0,5.0,12.0,0.25,账户4,17.25,S
2026-05-07,13:21:05,600433,冠豪高新,证券卖出,3400,5.24,17816.0,5.0,8.91,0.18,账户4,14.09,S
2026-05-07,13:52:15,600251,冠农股份,证券买入,1900,12.73,24187.0,5.0,0.0,0.25,账户4,5.25,B
2026-05-08,09:35:43,600234,科新发展,证券买入,400,25.938,10375.0,5.0,0.0,0.11,账户4,5.11,B
2026-05-08,09:35:43,603269,海鸥股份,证券买入,700,16.91,11837.0,5.0,0.0,0.12,账户4,5.12,B
2026-05-08,09:35:44,000811,冰轮环境,证券买入,400,25.98,10392.0,5.0,0.0,0.0,账户4,5.0,B
2026-05-08,09:38:58,605376,博迁新材,证券买入,100,129.2,12920.0,5.0,0.0,0.13,账户4,5.13,B
2026-05-08,09:39:59,000007,全新好,证券买入,700,17.17,12019.0,5.0,0.0,0.0,账户4,5.0,B
