date,time,code,name,action,qty,price,amount,fee,tax,other_fee,account,cost,side
2026-07-01,14:13:02,002171,楚江新材,证券卖出,3100,13.98,43338.0,4.33,21.68,2.77,账户3,28.779999999999998,S
2026-07-01,14:16:49,688122,西部超导,证券买入,732,60.35,44176.2,4.42,0.0,2.83,账户3,7.25,B
2026-07-01,14:41:39,300723,一品红,证券卖出,1400,40.43,56602.0,5.66,28.3,3.63,账户3,37.59,S
2026-07-01,14:43:29,600522,中天科技,证券买入,1000,54.93,54930.0,5.49,0.0,3.52,账户3,9.01,B
2026-07-02,13:04:05,002171,楚江新材,证券卖出,3100,14.13,43803.0,4.38,21.9,2.81,账户3,29.089999999999996,S
2026-07-02,13:05:14,300689,澄天伟业,证券买入,500,69.57,34785.0,3.48,0.0,2.24,账户3,5.720000000000001,B
2026-07-02,13:19:31,300689,澄天伟业,证券买入,100,68.37,6837.0,4.63,0.0,0.44,账户3,5.07,B
2026-07-02,13:58:20,300723,一品红,证券卖出,1400,40.87,57218.0,5.72,28.61,3.66,账户3,37.989999999999995,S
2026-07-02,14:04:38,300723,一品红,证券买入,100,40.65,4065.0,4.78,0.0,0.26,账户3,5.04,B
2026-07-02,14:19:21,300723,一品红,证券买入,300,40.11,12033.0,4.35,0.0,0.77,账户3,5.119999999999999,B
2026-07-02,14:32:47,300723,一品红,证券买入,1100,40.09,44099.0,4.41,0.0,2.82,账户3,7.23,B
2026-07-03,10:16:53,600567,山鹰国际,证券卖出,68900,1.4,96460.0,9.65,48.23,6.18,账户3,64.06,S
2026-07-03,10:18:51,002552,宝鼎科技,证券买入,1500,62.81,94215.0,9.42,0.0,6.03,账户3,15.45,B
2026-07-06,09:59:45,300723,一品红,证券卖出,1500,40.8,61200.0,6.12,30.6,3.92,账户3,40.64,S
2026-07-06,10:09:25,002552,宝鼎科技,证券买入,600,64.08,38448.0,3.84,0.0,2.46,账户3,6.3,B
2026-07-06,11:09:56,300723,一品红,证券买入,100,42.5,4250.0,4.77,0.0,0.27,账户3,5.039999999999999,B
2026-07-06,11:10:21,600522,中天科技,证券买入,400,47.89,19156.0,3.97,0.0,1.22,账户3,5.19,B
2026-07-06,13:17:09,300689,澄天伟业,证券卖出,300,66.31,19893.0,3.92,9.96,1.29,账户3,15.170000000000002,S
2026-07-06,13:17:46,300689,澄天伟业,证券卖出,100,66.26,6626.0,4.64,3.31,0.43,账户3,8.379999999999999,S
2026-07-06,13:18:03,300689,澄天伟业,证券卖出,700,66.22,46354.0,4.64,23.17,2.96,账户3,30.770000000000003,S
2026-07-06,13:19:13,001283,豪鹏科技,证券买入,1400,50.53,70742.0,7.07,0.0,4.49,账户3,11.56,B
2026-07-06,14:26:12,600567,山鹰国际,证券卖出,68900,1.38,95082.0,9.51,47.54,6.09,账户3,63.14,S
2026-07-06,14:27:07,002552,宝鼎科技,证券买入,1600,60.1,96160.0,9.62,0.0,6.16,账户3,15.78,B
2026-07-06,14:34:11,688122,西部超导,证券卖出,1471,56.523,83144.67,8.31,41.57,5.32,账户3,55.2,S
2026-07-06,14:34:22,000528,柳 工,证券买入,9100,8.28,75348.0,7.53,0.0,4.83,账户3,12.36,B
2026-07-06,14:35:40,002205,国统股份,证券买入,900,10.93,9837.0,4.46,0.0,0.64,账户3,5.1,B
2026-07-07,09:32:59,000528,柳 工,证券卖出,4500,8.46,38070.0,3.81,19.04,2.44,账户3,25.29,S
2026-07-07,09:45:50,600567,山鹰国际,证券买入,28500,1.37,39045.0,3.9,0.0,2.5,账户3,6.4,B
2026-07-07,09:47:12,000528,柳 工,证券卖出,4600,8.28,38088.0,3.81,19.04,2.44,账户3,25.29,S
2026-07-07,09:47:26,002205,国统股份,证券卖出,900,10.47,9423.0,4.49,4.71,0.6,账户3,9.799999999999999,S
2026-07-07,09:52:13,300136,信维通信,证券买入,400,96.18,38472.0,3.85,0.0,2.46,账户3,6.3100000000000005,B
2026-07-07,10:06:59,001283,豪鹏科技,证券卖出,1400,49.5,69300.0,6.93,34.66,4.45,账户3,46.04,S
2026-07-07,10:07:13,300136,信维通信,证券买入,800,94.543,75634.0,7.56,0.0,4.84,账户3,12.399999999999999,B
2026-07-07,13:27:38,688122,西部超导,证券卖出,1472,54.65,80444.8,8.04,40.24,5.17,账户3,53.45,S
2026-07-07,13:28:05,600745,*ST闻泰,证券买入,4500,18.1,81450.0,8.15,0.0,5.22,账户3,13.370000000000001,B
2026-07-08,13:20:23,600522,中天科技,证券卖出,1400,46.15,64610.0,6.46,32.31,4.14,账户3,42.910000000000004,S
2026-07-08,13:21:39,600745,*ST闻泰,证券买入,3700,17.487,64703.0,6.47,0.0,4.14,账户3,10.61,B
