code,name,open_date,close_date,hold_days,qty,buy_price,sell_price,pnl_gross,cost,pnl_net,pnl_pct
600338,西藏珠峰,2026-05-06,2026-06-04,29,900,26.776,17.13,-8681.4,14.65,-8696.05,-36.02
600338,西藏珠峰,2026-05-06,2026-06-04,29,900,26.8,17.13,-8703.0,14.65,-8717.65,-36.08
600338,西藏珠峰,2026-05-06,2026-06-04,29,900,26.86,17.13,-8757.0,14.65,-8771.65,-36.22
600433,冠豪高新,2026-05-06,2026-05-07,1,3400,4.82,5.24,1428.0,19.25,1408.75,8.71
600487,亨通光电,2026-05-08,2026-05-11,3,100,76.72,75.23,-149.0,11.42,-160.41,-1.94
600487,亨通光电,2026-05-08,2026-05-11,3,100,76.72,75.23,-149.0,11.42,-160.41,-1.94
600522,中天科技,2026-06-22,2026-06-23,1,300,58.62,62.74,1236.0,19.78,1216.22,7.03
600584,长电科技,2026-06-16,2026-06-17,1,200,75.53,81.69,1232.0,18.48,1213.52,8.16
600637,东方明珠,2026-05-25,2026-06-04,10,9900,11.39,9.15,-22176.0,67.67,-22243.67,-19.67
600879,航天电子,2026-06-16,2026-06-17,1,700,20.33,20.4,49.0,17.42,31.58,0.34
601339,百隆东方,2026-05-07,2026-05-12,5,2600,9.11,9.163,137.8,20.21,117.59,0.58
601339,百隆东方,2026-05-08,2026-05-12,4,2000,8.52,9.163,1286.0,16.69,1269.31,7.55
601939,建设银行,2026-05-07,2026-05-11,4,2500,9.76,9.53,-575.0,22.41,-597.41,-2.36
601996,丰林集团,2026-05-11,2026-05-12,1,2200,3.08,3.04,-88.0,13.47,-101.47,-1.3
603002,宏昌电子,2026-05-11,2026-05-12,1,400,15.43,14.92,-204.0,13.1,-217.1,-3.31
603019,中科曙光,2026-06-22,2026-06-23,1,100,87.492,90.49,299.8,10.7,289.1,3.43
603019,中科曙光,2026-06-22,2026-06-23,1,200,87.492,88.79,259.6,16.24,243.36,1.48
603019,中科曙光,2026-06-22,2026-06-23,1,200,87.492,88.76,253.6,16.24,237.36,1.45
603019,中科曙光,2026-06-23,2026-06-29,6,100,90.1,97.48,738.0,11.31,726.69,8.19
603019,中科曙光,2026-06-23,2026-06-29,6,300,88.87,97.48,2583.0,21.6,2561.4,9.69
603220,中贝通信,2026-05-11,2026-05-12,1,200,31.27,30.23,-208.0,13.14,-221.14,-3.33
603269,海鸥股份,2026-05-08,2026-05-12,4,700,16.91,20.42,2457.0,17.41,2439.59,20.76
603488,展鹏科技,2026-05-11,2026-05-12,1,200,12.46,12.24,-44.0,11.26,-55.26,-1.77
603527,众源新材,2026-05-11,2026-05-12,1,200,13.58,13.16,-84.0,11.36,-95.36,-3.09
603598,引力传媒,2026-05-18,2026-06-04,17,100,24.53,21.3,-323.0,11.11,-334.11,-13.17
603678,火炬电子,2026-06-17,2026-06-22,5,300,69.05,63.34,-1713.0,17.4,-1730.4,-8.27
603678,火炬电子,2026-06-18,2026-06-22,4,300,69.28,63.34,-1782.0,17.4,-1799.4,-8.57
603703,盛洋科技,2026-06-15,2026-06-16,1,1300,11.852,12.33,621.4,15.12,606.28,4.03
603703,盛洋科技,2026-06-15,2026-06-17,2,900,11.852,12.42,511.2,12.05,499.15,4.79
603703,盛洋科技,2026-06-15,2026-06-18,3,900,11.852,12.18,295.2,11.94,283.26,2.77
603703,盛洋科技,2026-06-15,2026-06-18,3,300,11.852,12.23,113.4,7.31,106.09,3.19
603703,盛洋科技,2026-06-15,2026-06-22,7,200,11.852,11.94,17.6,1.92,15.68,0.74
603703,盛洋科技,2026-06-16,2026-06-22,6,1000,12.308,11.94,-368.0,13.2,-381.2,-2.99
603703,盛洋科技,2026-06-17,2026-06-22,5,700,12.39,11.94,-315.0,10.74,-325.74,-3.63
603703,盛洋科技,2026-06-18,2026-06-22,4,600,12.02,11.94,-48.0,9.94,-57.94,-0.67
603897,长城科技,2026-05-11,2026-05-13,2,100,56.23,54.92,-131.0,12.86,-143.86,-2.33
603920,世运电路,2026-06-16,2026-06-17,1,200,58.68,61.515,567.0,16.4,550.6,4.83
605258,协和电子,2026-06-16,2026-06-17,1,300,36.45,37.54,327.0,15.85,311.15,2.99
605299,舒华体育,2026-05-08,2026-05-13,5,400,26.26,24.282,-791.2,12.27,-803.47,-7.53
605299,舒华体育,2026-05-08,2026-05-13,5,500,26.26,24.282,-989.0,14.08,-1003.08,-7.53
605376,博迁新材,2026-05-08,2026-05-13,5,100,129.2,130.31,111.0,16.78,94.22,0.86
