code,name,buy_date,sell_date,buy_price,sell_price,qty,pnl,ret,hold_days,buy_fee,sell_fee,mfe,mae,pullback60,ma20_slope,ret10_prior,above_ma20,post5,post10,max_post10,min_post10,gave_back,exit_class,entry_class
99,中信海直,2025-09-02,2025-10-21,24.21,21.77,500,-1235.6699999999998,-0.100784799669558,49,5.119999999999999,10.55,0.021891780256092508,-0.11565468814539448,-0.06884615384615378,0.04691462383770073,0.05404255319148943,True,0.010105649977032671,0.005971520440973821,0.03307303628847036,-0.019292604501607635,0.12267657992565051,止损过晚(死扛),顺势/平台
547,航天发展,2025-12-17,2025-12-19,21.99,22.69,200,127.64,0.0318326512050933,2,5.04,7.319999999999999,0.05275125056844021,-0.034106412005457054,,,,,0.2410753635962979,0.5019832525341559,0.5544292639929485,-0.04319083296606441,0.02091859936334691,过早止盈(卖后继续大涨),未知
547,航天发展,2026-01-13,2026-01-14,36.47,34.32,800,-1754.33,-0.0589525637510282,1,10.61,23.72,0.04743624897175769,-0.11159857417055119,,,,,-0.24592074592074598,-0.22552447552447563,-0.054487179487179405,-0.2494172494172494,0.10638881272278589,止损正确(卖后继续跌),未知
547,航天发展,2026-01-13,2026-01-14,36.8,34.32,600,-1513.83,-0.067391304347826,1,8.04,17.79,0.03804347826086962,-0.11956521739130432,,,,,-0.24592074592074598,-0.22552447552447563,-0.054487179487179405,-0.2494172494172494,0.10543478260869563,止损正确(卖后继续跌),未知
559,万向钱潮,2026-01-22,2026-01-28,19.967,17.7,1300,-2976.4299999999985,-0.1135373366053988,6,9.45,19.88,0.04372214153353049,-0.12305303751189445,-0.08408256880733955,0.7057823129251699,0.08373851971907054,True,-0.028813559322033777,0.14180790960451994,0.1796610169491526,-0.06779661016949146,0.1572594781389293,恐慌止损(卖后反弹),顺势/平台
592,平潭发展,2025-11-24,2025-12-17,9.85,14.01,200,820.5500000000001,0.4223350253807107,23,5.02,6.430000000000001,0.6213197969543149,-0.08324873096446705,-0.2231861198738171,1.8719999999999999,0.14209968186638378,True,-0.03711634546752318,0.09921484653818702,0.20342612419700212,-0.1363311920057102,0.19898477157360422,过早止盈(卖后继续大涨),高位回落接盘
592,平潭发展,2026-05-08,2026-05-11,11.43,11.48,5900,211.92,0.0043744531933508,3,24.55,58.53,0.053368328958879996,-0.02012248468941391,-0.13409090909090904,-0.059701492537313494,0.02810516772438798,True,-0.09407665505226481,-0.15243902439024393,0.08536585365853666,-0.16027874564459932,0.048993875765529195,盈利持有合理,高位回落接盘
630,铜陵有色,2026-03-16,2026-03-17,6.53,6.76,3500,776.2199999999999,0.0352220520673812,1,8.33,20.45,0.050535987748851374,-0.01071975497702915,-0.28944504896626766,-0.02250351617440227,-0.17458432304038007,False,-0.14053254437869822,-0.14053254437869822,-0.020710059171597628,-0.180473372781065,0.015313935681470173,盈利持有合理,下降通道抄底
737,北方铜业,2026-02-03,2026-02-27,17.19,17.87,2800,1843.2344827586207,0.0395578824898196,24,17.52,43.24551724137931,0.09831297265852235,-0.09249563699825492,-0.2004651162790697,0.09556527170518403,0.14341590612777044,True,-0.07274762171236715,-0.14605484051482942,0.05763850027979833,-0.1482932288752099,0.05875509016870275,盈利持有合理,高位回落接盘
737,北方铜业,2026-02-05,2026-02-27,16.4,17.87,100,144.858420467186,0.0896341463414635,22,0.5970967741935483,1.5444827586206895,0.102439024390244,-0.04878048780487798,-0.23720930232558146,0.14552479072762403,0.1097941359950092,False,-0.07274762171236715,-0.14605484051482942,0.05763850027979833,-0.1482932288752099,0.0128048780487805,盈利持有合理,高位回落接盘
737,北方铜业,2026-02-05,2026-03-02,16.4,17.77,3000,4045.9970967742006,0.0835365853658537,25,17.91290322580645,46.09,0.15243902439024382,-0.04878048780487798,-0.23720930232558146,0.14552479072762403,0.1097941359950092,False,-0.08891389983117604,-0.17107484524479455,0.026449071468767515,-0.1879572312886888,0.06890243902439011,止盈正确,高位回落接盘
759,中百集团,2025-12-24,2025-12-29,9.09,8.11,3100,-3069.99,-0.1078107810781078,5,10.25,21.74,0.04510451045104502,-0.11441144114411428,,,,,-0.04192355117139335,-0.0283600493218249,0.038224414303329235,-0.07644882860665836,0.15291529152915284,止损过晚(死扛),未知
