account,code,name,open_date,close_date,hold_days,buy_price,sell_price,pnl_net,pnl_pct,t0_close_pct,max_float_gain,max_float_loss,n_buys_in_rt,gave_back_pct,scenario
账户1,002025,航天电器,2026-03-25,2026-03-27,2.0,65.62,59.96,-1147.49,-8.63,-0.8229198415117489,4.388905821395905,-11.139896373057,2,13.018905821395906,G. 其他亏损
账户1,002025,航天电器,2026-03-25,2026-03-27,2.0,65.0,59.96,-514.25,-7.75,0.12307692307691465,5.384615384615388,-10.29230769230769,2,13.134615384615387,G. 其他亏损
账户1,002025,航天电器,2026-04-29,2026-04-30,1.0,68.8,71.99,930.82,4.64,-1.6424418604651048,8.197674418604661,-1.9767441860465085,1,3.5576744186046616,F. 其他盈利
账户1,002031,巨轮智能,2026-05-14,2026-05-15,1.0,7.72,7.26,-56.38,-5.96,-1.0362694300518172,8.808290155440424,-6.994818652849744,1,14.768290155440425,D. 买了就跌 → 死扛到大亏
账户1,002036,联创电子,2026-05-25,2026-05-26,1.0,10.68,10.66,-31.4,-0.19,-3.3707865168539297,2.3408239700374533,-5.149812734082381,1,2.5308239700374533,E. 买了就跌 → 割肉
账户1,002036,联创电子,2026-05-25,2026-05-28,3.0,10.68,9.62,-9113.71,-9.93,-3.3707865168539297,2.3408239700374533,-10.95505617977528,2,12.270823970037453,D. 买了就跌 → 死扛到大亏(且加仓)
账户1,002036,联创电子,2026-05-27,2026-05-28,1.0,10.19,9.62,-3026.51,-5.59,-1.6683022571148176,6.280667320902844,-6.67320902845927,1,11.870667320902843,D. 买了就跌 → 死扛到大亏
账户1,002049,紫光国微,2025-08-20,2025-08-22,2.0,79.64,82.64,495.18,3.77,2.7875439477649477,6.077348066298338,-0.665494726268212,1,2.307348066298338,C. 买了就涨 → 落袋(部分利润 · 或最大浮盈的一部分)
账户1,002050,三花智控,2026-01-22,2026-01-28,6.0,56.79,51.43,-4340.08,-9.44,-1.3382637788343033,3.18718084169749,-10.582849093150204,1,12.62718084169749,D. 买了就跌 → 死扛到大亏
账户1,002081,金 螳 螂,2026-05-29,2026-06-01,3.0,6.16,6.29,192.77,2.11,0.0,10.064935064935066,-9.902597402597413,1,7.954935064935066,F. 其他盈利
账户1,002082,万邦德,2026-04-01,2026-04-02,1.0,33.22,33.3,207.35,0.24,-0.06020469596627054,4.545454545454541,-11.830222757375076,1,4.305454545454541,F. 其他盈利
账户1,002149,西部材料,2026-02-27,2026-03-02,3.0,52.48,55.6,3052.85,5.95,-0.724085365853655,9.203506097560975,-5.487804878048774,2,3.253506097560975,F. 其他盈利
账户1,002149,西部材料,2026-03-02,2026-03-03,1.0,54.35,55.0,640.94,1.2,1.3431462741490208,5.446182152713885,-8.794848206071759,1,4.246182152713885,C. 买了就涨 → 落袋(部分利润 · 或最大浮盈的一部分)
账户1,002149,西部材料,2026-03-16,2026-03-17,1.0,42.85,43.43,263.43,1.35,4.2940490081680105,4.690781796966159,-2.0770128354725803,2,3.340781796966159,C. 买了就涨 → 落袋(部分利润 · 或最大浮盈的一部分)
账户1,002149,西部材料,2026-03-16,2026-03-17,1.0,43.76,43.43,-41.79,-0.75,2.12522851919561,2.5137111517367527,-4.113345521023759,2,3.2637111517367527,G. 其他亏损
账户1,002171,楚江新材,2026-06-15,2026-06-16,1.0,13.86,14.28,2093.59,3.03,-0.649350649350644,7.3593073593073655,-2.886002886002881,2,4.329307359307366,F. 其他盈利
账户1,002171,楚江新材,2026-06-16,2026-06-17,1.0,14.09,15.1,5058.28,7.17,1.7743080198722394,9.865152590489723,-3.477643718949608,2,2.695152590489723,C. 买了就涨 → 落袋(部分利润 · 或最大浮盈的一部分)
账户1,002171,楚江新材,2026-06-17,2026-07-01,14.0,14.4,13.62,-4144.46,-5.42,4.166666666666674,14.374999999999982,-10.208333333333341,3,19.79499999999998,A. 买了就涨 → 没跑 → 变大亏(且加仓)
账户1,002171,楚江新材,2026-06-18,2026-07-01,13.0,15.11,13.62,-5124.71,-9.86,1.7868960953011381,9.000661813368627,-14.42753143613501,2,18.860661813368626,A. 买了就涨 → 没跑 → 变大亏(且加仓)
账户1,002171,楚江新材,2026-06-23,2026-07-01,8.0,14.88,13.62,-2171.22,-8.47,-0.5376344086021501,9.744623655913953,-13.104838709677423,1,18.214623655913954,G. 其他亏损
账户1,002175,东方智造,2025-12-23,2026-01-06,14.0,4.85,4.56,-1360.25,-5.98,-2.268041237113394,7.2164948453608435,-9.072164948453597,1,13.196494845360844,E. 买了就跌 → 割肉
账户1,002178,延华智能,2026-03-05,2026-03-06,1.0,7.2,6.84,-2837.68,-5.0,-5.555555555555558,1.9444444444444375,-8.472222222222225,1,6.9444444444444375,E. 买了就跌 → 割肉
账户1,002190,成飞集成,2026-05-12,2026-05-14,2.0,32.628,32.33,-540.5,-0.91,1.7530955007968752,11.499325732499699,-9.464263822483755,1,12.409325732499699,B. 买了就涨 → 没跑 → 变小亏
账户1,002192,融捷股份,2026-05-20,2026-05-22,2.0,90.52,84.71,-6507.76,-6.42,-0.11047282368537026,1.4030048608042467,-7.688908528501981,2,7.823004860804247,G. 其他亏损
账户1,002192,融捷股份,2026-05-20,2026-05-22,2.0,90.52,84.14,-648.56,-7.05,-0.11047282368537026,1.4030048608042467,-7.688908528501981,2,8.453004860804246,G. 其他亏损
账户1,002192,融捷股份,2026-05-21,2026-05-22,1.0,89.686,84.14,-2825.68,-6.18,-4.344044778449252,1.7661619427781217,-6.830497513547273,1,7.946161942778121,D. 买了就跌 → 死扛到大亏
账户1,002241,歌尔股份,2025-10-20,2025-10-21,1.0,30.25,32.23,382.66,6.55,0.5289256198347081,7.438016528925617,-0.19834710743801276,1,0.8880165289256174,F. 其他盈利
账户1,002371,北方华创,2026-03-05,2026-03-06,1.0,463.94,467.82,330.68,0.84,0.5043755658059146,1.793335345087721,-1.9334396689226985,1,0.953335345087721,F. 其他盈利
账户1,002407,多氟多,2026-03-16,2026-03-17,1.0,30.28,29.36,-573.83,-3.04,0.8916776750330202,3.1704095112285335,-7.166446499339507,2,6.210409511228534,G. 其他亏损
账户1,002407,多氟多,2026-03-17,2026-03-18,1.0,28.48,27.82,-416.65,-2.32,0.6320224719101208,6.390449438202239,-5.58286516853933,1,8.71044943820224,G. 其他亏损
账户1,002423,中粮资本,2026-03-16,2026-03-17,1.0,11.31,10.97,-355.72,-3.01,-0.2652519893899252,1.5915119363395291,-3.1830238726790583,1,4.601511936339529,G. 其他亏损
账户1,002428,云南锗业,2026-03-25,2026-03-26,1.0,49.13,46.66,-1769.74,-5.03,-1.4247913698351322,0.0,-6.187665377569706,1,5.03,D. 买了就跌 → 死扛到大亏
账户1,002446,盛路通信,2026-07-01,2026-07-02,1.0,11.39,11.04,-4473.36,-3.07,-1.843722563652339,1.843722563652328,-3.863037752414411,1,4.913722563652328,D. 买了就跌 → 死扛到大亏
账户1,002456,欧菲光,2025-08-21,2025-08-22,1.0,12.71,13.22,681.99,4.01,-0.07867820613691734,5.7435090479937,-1.0228166797797034,2,1.7335090479937003,F. 其他盈利
账户1,002456,欧菲光,2025-08-21,2025-08-22,1.0,12.7,13.22,698.03,4.09,0.0,5.826771653543306,-0.9448818897637712,2,1.7367716535433058,F. 其他盈利
账户1,002456,欧菲光,2026-07-02,2026-07-06,4.0,9.65,9.08,-8197.15,-5.91,-1.865284974093262,4.663212435233155,-7.0466321243523256,1,10.573212435233156,D. 买了就跌 → 死扛到大亏
