account,code,name,open_date,close_date,hold_days,buy_price,sell_price,d0_pct,d1_open_pct,d1_high_pct,d1_low_pct,d1_close_pct,t1_limit_up,d2_pct,ideal_gain_pct,actual_gain_pct,missed_pct,pnl_net,limit_up_pct,scenario,exit_t1,exit_late
账户1,000762,西藏矿业,2026-04-02,2026-04-03,1,31.26,31.26,9.992962702322306,0.0,2.847088931541908,-3.5188739603327024,-3.103007037747929,False,0.36315615714757055,2.847088931541908,0.0,2.847088931541908,-53.76,10.0,T+1 平开 (模板:开盘直接走 or 分时看破均),True,False
账户1,000762,西藏矿业,2026-04-02,2026-04-03,1,31.26,30.51,9.992962702322306,0.0,2.847088931541908,-3.5188739603327024,-3.103007037747929,False,0.36315615714757055,2.847088931541908,-2.4,5.247088931541908,-1102.85,10.0,T+1 平开 (模板:开盘直接走 or 分时看破均),True,False
账户1,000889,中嘉博创,2026-04-28,2026-04-29,1,4.78,4.91,10.089686098654704,-1.8329938900203624,1.4256619144602967,-4.073319755600813,-2.0366598778004175,False,-8.108108108108103,4.184100418410042,2.72,1.4641004184100415,244.89,10.0,T+1 低开 1-3% (模板:竞价撤 · 若买不到干脆放弃),True,False
账户1,000890,法尔胜,2026-03-17,2026-03-18,1,12.64,13.17,10.000000000000009,2.53353204172877,4.32190760059612,-6.780923994038746,1.3412816691505292,False,2.941176470588247,10.759493670886066,4.19,6.569493670886065,408.52,10.0,T+1 高开 2-5% (模板:开盘先撤 · 分时判断),True,False
账户1,002081,金 螳 螂,2026-05-29,2026-06-01,3,6.16,6.29,10.000000000000009,2.110389610389607,10.064935064935066,0.16233766233766378,10.064935064935066,True,1.0324483775811188,10.064935064935066,2.11,7.954935064935066,192.77,10.0,T+1 封板(继续持有 · 你若走了是踏空),False,True
账户1,002082,万邦德,2026-04-01,2026-04-02,1,33.22,33.3,9.933774834437092,-3.0120481927710885,4.608433734939732,-6.566265060240973,4.03614457831325,False,-1.4186450492183034,4.545454545454541,0.24,4.305454545454541,207.35,10.0,T+1 低开 3%+ (模板:承认失败 · 早盘冲高就走),True,False
账户1,002190,成飞集成,2026-05-12,2026-05-14,2,32.628,32.33,10.006626905235262,-0.2409638554217053,9.578313253012038,-1.3253012048192958,1.957831325301207,False,-5.435745937961601,11.499325732499699,-0.91,12.409325732499699,-540.5,10.0,T+1 平开 (模板:开盘直接走 or 分时看破均),False,False
账户1,002640,跨境通,2026-05-11,2026-05-12,1,4.35,4.55,9.927360774818418,1.3215859030836885,1.541850220264318,-5.947136563876665,-4.625550660792954,False,2.3094688221708903,5.977011494252893,4.6,1.3770114942528933,2411.55,10.0,T+1 平开 (模板:开盘直接走 or 分时看破均),True,False
账户1,002640,跨境通,2026-05-11,2026-05-12,1,4.35,4.36,9.927360774818418,1.3215859030836885,1.541850220264318,-5.947136563876665,-4.625550660792954,False,2.3094688221708903,5.977011494252893,0.23,5.7470114942528925,57.67,10.0,T+1 平开 (模板:开盘直接走 or 分时看破均),True,False
账户1,002792,通宇通讯,2026-02-03,2026-02-09,6,50.92,50.62,9.997917100604049,2.0640030297292,4.222685097519396,-0.3219087294073164,0.0,False,-2.953985987502372,8.091123330714844,-0.59,8.681123330714843,-181.14,10.0,T+1 高开 2-5% (模板:开盘先撤 · 分时判断),False,True
账户1,002831,裕同科技,2026-04-03,2026-04-08,5,34.995,36.57,10.006234413965087,-0.19835647492207897,1.5585151601020142,-2.5219608954378026,-0.14168319637289928,False,5.221339387060153,2.4146306615230984,4.5,-2.0853693384769016,2295.97,10.0,T+1 平开 (模板:开盘直接走 or 分时看破均),False,True
账户1,002971,和远气体,2026-01-08,2026-01-09,1,32.804,31.566,10.009813542688928,-4.846862920011896,-3.5385072851620736,-7.552780255724068,-4.162949747249501,False,-0.6825938566552892,-1.1096207779539236,-3.77,2.6603792220460765,-1660.38,10.0,T+1 低开 3%+ (模板:承认失败 · 早盘冲高就走),True,False
账户1,300164,通源石油,2026-03-03,2026-03-04,1,21.69,23.05,20.02212389380531,1.382488479262678,18.89400921658988,-18.110599078341018,13.179723502304142,False,-8.754071661237784,18.948824343015215,6.27,12.678824343015215,6261.27,20.0,T+1 平开 (模板:开盘直接走 or 分时看破均),True,False
