ts_code,ann_date,holder_name,holder_type,in_de,change_vol,change_ratio,after_share,after_ratio,avg_price,total_share
002049.SZ,20260827,邬睿,G,IN,8000.0,0.0009,8000.0,0.0009,,8000.0
002049.SZ,20260827,马宁辉,G,IN,3200.0,0.0004,3200.0,0.0004,,3200.0
002049.SZ,20260827,岳超,G,IN,21100.0,0.0025,21100.0,0.0025,,21100.0
002049.SZ,20260827,李天池,G,IN,20000.0,0.0024,20000.0,0.0024,,20000.0
002049.SZ,20260827,陈杰,G,IN,108600.0,0.0129,108880.0,0.0129,,108880.0
002893.SZ,20260827,赵一波,P,DE,217000.0,0.107,26363987.0,13.0014,9.36,26363987.0
002893.SZ,20260827,赵一波,P,DE,1060000.0,0.5227,26580987.0,13.1084,9.36,26580987.0
002893.SZ,20260827,赵一波,P,DE,550000.0,0.2712,27640987.0,13.6311,9.24,27640987.0
002083.SZ,20260827,孙小惠,P,IN,228500.0,0.0241,30228555.0,3.1944,,30228555.0
000935.SZ,20260827,中国中信金融资产管理股份有限公司,C,DE,6473800.0,0.848,38171993.0,5.0,,38171993.0
605118.SH,20260827,张军光,G,DE,8500.0,0.0021,,,29.412,25600.0
605118.SH,20260827,陈亚聪,G,DE,4200.0,0.001,,,30.135,25800.0
603209.SH,20260827,山东日盈投资有限公司,C,DE,1608600.0,0.5004,0.0,,,0.0
300599.SZ,20260827,黄锦禧,G,DE,987900.0,0.3116,67142800.0,21.179,,67142800.0
300599.SZ,20260827,吴端明,G,DE,135000.0,0.0427,62813.0,0.0199,12.8,656250.0
000598.SZ,20260827,信环绿色控股(北京)有限责任公司,C,IN,26673707.0,0.894,268895203.0,9.0124,,268895203.0
603755.SH,20260827,浙江君弘资产管理有限公司-君弘钱江二十七期私募证券投资基金,C,DE,78700.0,0.0798,4851957.0,4.9202,,4851957.0
605033.SH,20260827,许昌美富美企业管理合伙企业(有限合伙),C,DE,30000.0,0.0222,4135800.0,3.059,21.0235,4135800.0
605033.SH,20260827,许昌美富美企业管理合伙企业(有限合伙),C,DE,30000.0,0.0222,4135800.0,3.059,21.0235,4135800.0
603619.SH,20260827,朱逢学,P,DE,13869000.0,2.9998,5563407.0,1.2033,21.4396,5563407.0
603153.SH,20260827,"上海见慧企业咨询合伙企业(有限合伙),上海见鑫企业咨询合伙企业(有限合伙),上海见盛企业咨询合伙企业(有限合伙),上海见筠企业咨询合伙企业(有限合伙),上海见叶企业咨询合伙企业(有限合伙),上海见理企业咨询合伙企业(有限合伙)",C,DE,1881700.0,0.466,,,,30762574.0
301358.SZ,20260826,宁德时代新能源科技股份有限公司,C,DE,7822951.0,1.0235,49918157.0,6.531,,49918157.0
300562.SZ,20260826,广东乐心医疗电子股份有限公司增益2号员工持股计划,C,IN,1719600.0,1.028,,,15.12,
002973.SZ,20260826,郭倍华,G,DE,250000.0,0.0787,14778944.0,4.6525,,103500174.0
301282.SZ,20260826,麦睿明,P,DE,270000.0,0.1529,16392000.0,9.2832,,16392000.0
300562.SZ,20260826,广东乐心医疗电子股份有限公司增益2号员工持股计划,C,IN,1719600.0,1.028,,,15.12,
600847.SH,20260826,北京世达祺祥贸易有限公司,C,DE,230000.0,0.15,2831100.0,1.8469,,2831100.0
688625.SH,20260826,金鹰优选251号集合资产管理计划,C,IN,447444.0,0.1723,447444.0,0.1723,53.7521,447444.0
688625.SH,20260826,段淑丽,G,IN,103697.0,0.0399,103697.0,0.0399,72.4419,103697.0
688625.SH,20260826,张旭,G,IN,124831.0,0.0481,124831.0,0.0481,72.1609,124831.0
688625.SH,20260826,余志亮,G,IN,103989.0,0.04,103989.0,0.04,72.24,103989.0
688625.SH,20260826,陈映红,G,IN,164940.0,0.0635,164940.0,0.0635,71.7813,164940.0
688409.SH,20260826,泰州祥浦创业投资基金合伙企业(有限合伙),C,DE,3195000.0,1.0434,27426078.0,8.9566,,27426078.0
002973.SZ,20260826,安义珑欣企业管理合伙企业(有限合伙),C,DE,2097200.0,0.6602,14084447.0,4.4339,,14084447.0
002973.SZ,20260826,郭倍华,G,DE,250000.0,0.0787,14778944.0,4.6525,,103500174.0
920267.BJ,20260826,深圳市投控东海中小微创业投资企业(有限合伙),C,DE,80000.0,0.2944,0.0,,15.91,0.0
920267.BJ,20260826,深圳市投控东海中小微创业投资企业(有限合伙),C,DE,473741.0,1.7432,0.0,,18.2441,80000.0
920571.BJ,20260826,上海融沣商贸有限公司,C,DE,1762250.0,0.5952,1149799.0,0.3883,,13369997.0
920571.BJ,20260826,林耀明,P,DE,1088889.0,0.3678,2451291.0,0.8279,,16804011.0
920571.BJ,20260826,张轶,G,DE,2018598.0,0.6818,13985402.0,4.7235,,78001402.0
600155.SH,20260826,贵州金融控股集团有限责任公司,C,IN,110677124.0,5.0,110677124.0,5.0,5.94,110677124.0
920026.BJ,20260826,苏州特瑞特企业管理咨询企业(有限合伙),C,DE,42056.0,0.0486,,,,2326947.0
920026.BJ,20260826,苏州特瑞特星熠贰号管理咨询合伙企业(有限合伙),C,DE,295053.0,0.3406,,,,3883275.0
920026.BJ,20260826,苏州特瑞特云帆壹号企业管理咨询合伙企业(有限合伙),C,DE,623867.0,0.7202,,,,4821846.0
002489.SZ,20260826,谢建勇,G,DE,2708800.0,0.1416,21877687.0,1.1436,3.44,122832749.0
301118.SZ,20260826,朱友良,G,DE,79500.0,0.0748,104438.0,0.0983,30.1719,256250.0
600847.SH,20260826,北京世达祺祥贸易有限公司,C,DE,230000.0,0.15,2831100.0,1.8469,,2831100.0
603665.SH,20260826,海南裕昊创业投资合伙企业(有限合伙),C,DE,572827.0,0.3576,7896646.0,4.9302,23.91,7896646.0
688079.SH,20260826,矢岛大和,G,DE,25000.0,0.0062,,,24.0,75000.0
688079.SH,20260826,翁钦盛,G,DE,25000.0,0.0062,,,31.94,115000.0
601718.SH,20260826,新兴际华集团有限公司,C,IN,33935000.0,0.7781,2040597891.0,46.7912,,2040597891.0
603665.SH,20260826,海南裕昊创业投资合伙企业(有限合伙),C,DE,118000.0,0.0737,7770746.0,4.8516,21.66,7770746.0
603665.SH,20260826,海南裕昊创业投资合伙企业(有限合伙),C,DE,690827.0,0.4313,7770746.0,4.8516,,7770746.0
002695.SZ,20260826,江西煌上煌集团食品股份有限公司-2021年员工持股计划,C,DE,7164000.0,1.4007,0.0,,,0.0
300732.SZ,20260825,魏俊锋,G,DE,45927.0,0.0124,0.0,,6.07,137781.0
300732.SZ,20260825,魏俊锋,G,DE,45927.0,0.0124,0.0,,6.07,137781.0
300832.SZ,20260825,李婷华,G,IN,10000.0,0.0015,,,45.79,
300832.SZ,20260825,张蕾,G,IN,20000.0,0.0029,,,45.98,
