ts_code,ann_date,holder_name,holder_type,in_de,change_vol,change_ratio,after_share,after_ratio,avg_price,total_share
002601.SZ,20260803,吴彭森,G,IN,125300.0,0.0063,,,16.0295,2190300.0
002601.SZ,20260803,孙亮,G,IN,130000.0,0.0065,,,15.5323,131000.0
002601.SZ,20260803,张刚,G,IN,123700.0,0.0062,123700.0,0.0062,16.3185,123700.0
002601.SZ,20260803,张海涛,P,IN,419900.0,0.0211,,,16.663,1243900.0
002601.SZ,20260803,王旭东,G,IN,131500.0,0.0066,131500.0,0.0066,16.3027,131500.0
002601.SZ,20260803,许冉,G,IN,2093600.0,0.1053,127093600.0,6.3943,14.5659,502093600.0
002601.SZ,20260803,陈建立,G,IN,130000.0,0.0065,,,16.0708,2507000.0
600818.SH,20260803,北京乾瑞翔科技有限公司,C,IN,3097900.0,1.3019,3097900.0,0.9637,,3097900.0
600818.SH,20260803,广西永亨投资集团有限公司,C,IN,2153900.0,0.9052,2153900.0,0.6701,,2153900.0
600818.SH,20260803,北海银河供应链管理有限公司,C,IN,1000000.0,0.4202,1000000.0,0.3111,,1000000.0
600818.SH,20260803,北海永亨海融投资有限公司,C,IN,2683700.0,1.1278,2683700.0,0.8349,,2683700.0
600818.SH,20260803,北海红芯芯片技术有限公司,C,IN,2818300.0,1.1844,2818300.0,0.8768,,2818300.0
600818.SH,20260803,北海永亨科技有限公司,C,IN,2510300.0,1.0549,2510300.0,0.7809,,2510300.0
600818.SH,20260803,北海科源创业服务有限公司,C,IN,2069500.0,0.8697,2069500.0,0.6438,,2069500.0
600818.SH,20260803,北京乾瑞翔科技有限公司,C,IN,3097900.0,1.3019,3097900.0,0.9637,,3097900.0
600818.SH,20260803,广西永亨投资集团有限公司,C,IN,2153900.0,0.9052,2153900.0,0.6701,,2153900.0
600818.SH,20260803,北海银河供应链管理有限公司,C,IN,1000000.0,0.4202,1000000.0,0.3111,,1000000.0
600818.SH,20260803,北海永亨海融投资有限公司,C,IN,2683700.0,1.1278,2683700.0,0.8349,,2683700.0
600818.SH,20260803,北海红芯芯片技术有限公司,C,IN,2818300.0,1.1844,2818300.0,0.8768,,2818300.0
600818.SH,20260803,北海永亨科技有限公司,C,IN,2510300.0,1.0549,2510300.0,0.7809,,2510300.0
600818.SH,20260803,北海科源创业服务有限公司,C,IN,2069500.0,0.8697,2069500.0,0.6438,,2069500.0
002601.SZ,20260803,许冉,G,IN,2093600.0,0.1057,125523400.0,6.3403,14.5659,502093600.0
002601.SZ,20260803,吴彭森,G,IN,125300.0,0.0063,,,16.0295,2190300.0
002601.SZ,20260803,孙亮,G,IN,130000.0,0.0065,,,15.5323,131000.0
002601.SZ,20260803,张刚,G,IN,123700.0,0.0062,123700.0,0.0062,16.3185,123700.0
002601.SZ,20260803,张海涛,P,IN,419900.0,0.0211,,,16.663,1243900.0
002601.SZ,20260803,王旭东,G,IN,131500.0,0.0066,131500.0,0.0066,16.3027,131500.0
002601.SZ,20260803,许冉,G,IN,2093600.0,0.1057,125523400.0,6.3403,14.5659,502093600.0
002601.SZ,20260803,陈建立,G,IN,130000.0,0.0065,,,16.0708,2507000.0
600818.SH,20260803,北京乾瑞翔科技有限公司,C,IN,3097900.0,1.3019,3097900.0,0.9637,,3097900.0
600818.SH,20260803,广西永亨投资集团有限公司,C,IN,2153900.0,0.9052,2153900.0,0.6701,,2153900.0
600818.SH,20260803,北海银河供应链管理有限公司,C,IN,1000000.0,0.4202,1000000.0,0.3111,,1000000.0
600818.SH,20260803,北海永亨海融投资有限公司,C,IN,2683700.0,1.1278,2683700.0,0.8349,,2683700.0
600818.SH,20260803,北海红芯芯片技术有限公司,C,IN,2818300.0,1.1844,2818300.0,0.8768,,2818300.0
600818.SH,20260803,北海永亨科技有限公司,C,IN,2510300.0,1.0549,2510300.0,0.7809,,2510300.0
600818.SH,20260803,北海科源创业服务有限公司,C,IN,2069500.0,0.8697,2069500.0,0.6438,,2069500.0
002601.SZ,20260803,吴彭森,G,IN,125300.0,0.0063,,,16.0295,2190300.0
002601.SZ,20260803,孙亮,G,IN,130000.0,0.0065,,,15.5323,131000.0
002601.SZ,20260803,张刚,G,IN,123700.0,0.0062,123700.0,0.0062,16.3185,123700.0
002601.SZ,20260803,张海涛,P,IN,419900.0,0.0211,,,16.663,1243900.0
002601.SZ,20260803,王旭东,G,IN,131500.0,0.0066,131500.0,0.0066,16.3027,131500.0
002601.SZ,20260803,许冉,G,IN,2093600.0,0.1057,125523400.0,6.3403,14.5659,502093600.0
002601.SZ,20260803,陈建立,G,IN,130000.0,0.0065,,,16.0708,2507000.0
600818.SH,20260803,北京乾瑞翔科技有限公司,C,IN,3097900.0,1.3019,3097900.0,0.9637,,3097900.0
600818.SH,20260803,广西永亨投资集团有限公司,C,IN,2153900.0,0.9052,2153900.0,0.6701,,2153900.0
600818.SH,20260803,北海银河供应链管理有限公司,C,IN,1000000.0,0.4202,1000000.0,0.3111,,1000000.0
600818.SH,20260803,北海永亨海融投资有限公司,C,IN,2683700.0,1.1278,2683700.0,0.8349,,2683700.0
600818.SH,20260803,北海红芯芯片技术有限公司,C,IN,2818300.0,1.1844,2818300.0,0.8768,,2818300.0
600818.SH,20260803,北海永亨科技有限公司,C,IN,2510300.0,1.0549,2510300.0,0.7809,,2510300.0
600818.SH,20260803,北海科源创业服务有限公司,C,IN,2069500.0,0.8697,2069500.0,0.6438,,2069500.0
002601.SZ,20260803,吴彭森,G,IN,125300.0,0.0063,,,16.0295,2190300.0
002601.SZ,20260803,孙亮,G,IN,130000.0,0.0065,,,15.5323,131000.0
002601.SZ,20260803,张刚,G,IN,123700.0,0.0062,123700.0,0.0062,16.3185,123700.0
002601.SZ,20260803,张海涛,P,IN,419900.0,0.0211,,,16.663,1243900.0
002601.SZ,20260803,王旭东,G,IN,131500.0,0.0066,131500.0,0.0066,16.3027,131500.0
002601.SZ,20260803,许冉,G,IN,2093600.0,0.1057,125523400.0,6.3403,14.5659,502093600.0
002601.SZ,20260803,陈建立,G,IN,130000.0,0.0065,,,16.0708,2507000.0
600818.SH,20260803,北京乾瑞翔科技有限公司,C,IN,3097900.0,1.3019,3097900.0,0.9637,,3097900.0
600818.SH,20260803,广西永亨投资集团有限公司,C,IN,2153900.0,0.9052,2153900.0,0.6701,,2153900.0
600818.SH,20260803,北海银河供应链管理有限公司,C,IN,1000000.0,0.4202,1000000.0,0.3111,,1000000.0
600818.SH,20260803,北海永亨海融投资有限公司,C,IN,2683700.0,1.1278,2683700.0,0.8349,,2683700.0
600818.SH,20260803,北海红芯芯片技术有限公司,C,IN,2818300.0,1.1844,2818300.0,0.8768,,2818300.0
600818.SH,20260803,北海永亨科技有限公司,C,IN,2510300.0,1.0549,2510300.0,0.7809,,2510300.0
600818.SH,20260803,北海科源创业服务有限公司,C,IN,2069500.0,0.8697,2069500.0,0.6438,,2069500.0
002601.SZ,20260803,吴彭森,G,IN,125300.0,0.0063,,,16.0295,2190300.0
002601.SZ,20260803,孙亮,G,IN,130000.0,0.0065,,,15.5323,131000.0
002601.SZ,20260803,张刚,G,IN,123700.0,0.0062,123700.0,0.0062,16.3185,123700.0
002601.SZ,20260803,张海涛,P,IN,419900.0,0.0211,,,16.663,1243900.0
002601.SZ,20260803,王旭东,G,IN,131500.0,0.0066,131500.0,0.0066,16.3027,131500.0
002601.SZ,20260803,许冉,G,IN,2093600.0,0.1057,125523400.0,6.3403,14.5659,502093600.0
002601.SZ,20260803,陈建立,G,IN,130000.0,0.0065,,,16.0708,2507000.0
600818.SH,20260803,北京乾瑞翔科技有限公司,C,IN,3097900.0,1.3019,3097900.0,0.9637,,3097900.0
600818.SH,20260803,广西永亨投资集团有限公司,C,IN,2153900.0,0.9052,2153900.0,0.6701,,2153900.0
600818.SH,20260803,北海银河供应链管理有限公司,C,IN,1000000.0,0.4202,1000000.0,0.3111,,1000000.0
600818.SH,20260803,北海永亨海融投资有限公司,C,IN,2683700.0,1.1278,2683700.0,0.8349,,2683700.0
600818.SH,20260803,北海红芯芯片技术有限公司,C,IN,2818300.0,1.1844,2818300.0,0.8768,,2818300.0
600818.SH,20260803,北海永亨科技有限公司,C,IN,2510300.0,1.0549,2510300.0,0.7809,,2510300.0
600818.SH,20260803,北海科源创业服务有限公司,C,IN,2069500.0,0.8697,2069500.0,0.6438,,2069500.0
002601.SZ,20260803,吴彭森,G,IN,125300.0,0.0063,,,16.0295,2190300.0
002601.SZ,20260803,孙亮,G,IN,130000.0,0.0065,,,15.5323,131000.0
002601.SZ,20260803,张刚,G,IN,123700.0,0.0062,123700.0,0.0062,16.3185,123700.0
002601.SZ,20260803,张海涛,P,IN,419900.0,0.0211,,,16.663,1243900.0
002601.SZ,20260803,王旭东,G,IN,131500.0,0.0066,131500.0,0.0066,16.3027,131500.0
002601.SZ,20260803,许冉,G,IN,2093600.0,0.1057,125523400.0,6.3403,14.5659,502093600.0
002601.SZ,20260803,陈建立,G,IN,130000.0,0.0065,,,16.0708,2507000.0
600818.SH,20260803,北京乾瑞翔科技有限公司,C,IN,3097900.0,1.3019,3097900.0,0.9637,,3097900.0
600818.SH,20260803,广西永亨投资集团有限公司,C,IN,2153900.0,0.9052,2153900.0,0.6701,,2153900.0
600818.SH,20260803,北海银河供应链管理有限公司,C,IN,1000000.0,0.4202,1000000.0,0.3111,,1000000.0
600818.SH,20260803,北海永亨海融投资有限公司,C,IN,2683700.0,1.1278,2683700.0,0.8349,,2683700.0
600818.SH,20260803,北海红芯芯片技术有限公司,C,IN,2818300.0,1.1844,2818300.0,0.8768,,2818300.0
600818.SH,20260803,北海永亨科技有限公司,C,IN,2510300.0,1.0549,2510300.0,0.7809,,2510300.0
600818.SH,20260803,北海科源创业服务有限公司,C,IN,2069500.0,0.8697,2069500.0,0.6438,,2069500.0
002601.SZ,20260803,吴彭森,G,IN,125300.0,0.0063,,,16.0295,2190300.0
002601.SZ,20260803,孙亮,G,IN,130000.0,0.0065,,,15.5323,131000.0
002601.SZ,20260803,张刚,G,IN,123700.0,0.0062,123700.0,0.0062,16.3185,123700.0
002601.SZ,20260803,张海涛,P,IN,419900.0,0.0211,,,16.663,1243900.0
002601.SZ,20260803,王旭东,G,IN,131500.0,0.0066,131500.0,0.0066,16.3027,131500.0
002601.SZ,20260803,许冉,G,IN,2093600.0,0.1057,125523400.0,6.3403,14.5659,502093600.0
002601.SZ,20260803,陈建立,G,IN,130000.0,0.0065,,,16.0708,2507000.0
600818.SH,20260803,北京乾瑞翔科技有限公司,C,IN,3097900.0,1.3019,3097900.0,0.9637,,3097900.0
600818.SH,20260803,广西永亨投资集团有限公司,C,IN,2153900.0,0.9052,2153900.0,0.6701,,2153900.0
600818.SH,20260803,北海银河供应链管理有限公司,C,IN,1000000.0,0.4202,1000000.0,0.3111,,1000000.0
600818.SH,20260803,北海永亨海融投资有限公司,C,IN,2683700.0,1.1278,2683700.0,0.8349,,2683700.0
600818.SH,20260803,北海红芯芯片技术有限公司,C,IN,2818300.0,1.1844,2818300.0,0.8768,,2818300.0
600818.SH,20260803,北海永亨科技有限公司,C,IN,2510300.0,1.0549,2510300.0,0.7809,,2510300.0
600818.SH,20260803,北海科源创业服务有限公司,C,IN,2069500.0,0.8697,2069500.0,0.6438,,2069500.0
002601.SZ,20260803,吴彭森,G,IN,125300.0,0.0063,,,16.0295,2190300.0
002601.SZ,20260803,孙亮,G,IN,130000.0,0.0065,,,15.5323,131000.0
002601.SZ,20260803,张刚,G,IN,123700.0,0.0062,123700.0,0.0062,16.3185,123700.0
002601.SZ,20260803,张海涛,P,IN,419900.0,0.0211,,,16.663,1243900.0
002601.SZ,20260803,王旭东,G,IN,131500.0,0.0066,131500.0,0.0066,16.3027,131500.0
002601.SZ,20260803,许冉,G,IN,2093600.0,0.1057,125523400.0,6.3403,14.5659,502093600.0
002601.SZ,20260803,陈建立,G,IN,130000.0,0.0065,,,16.0708,2507000.0
600818.SH,20260803,北京乾瑞翔科技有限公司,C,IN,3097900.0,1.3019,3097900.0,0.9637,,3097900.0
600818.SH,20260803,广西永亨投资集团有限公司,C,IN,2153900.0,0.9052,2153900.0,0.6701,,2153900.0
600818.SH,20260803,北海银河供应链管理有限公司,C,IN,1000000.0,0.4202,1000000.0,0.3111,,1000000.0
600818.SH,20260803,北海永亨海融投资有限公司,C,IN,2683700.0,1.1278,2683700.0,0.8349,,2683700.0
600818.SH,20260803,北海红芯芯片技术有限公司,C,IN,2818300.0,1.1844,2818300.0,0.8768,,2818300.0
600818.SH,20260803,北海永亨科技有限公司,C,IN,2510300.0,1.0549,2510300.0,0.7809,,2510300.0
600818.SH,20260803,北海科源创业服务有限公司,C,IN,2069500.0,0.8697,2069500.0,0.6438,,2069500.0
920163.BJ,20260804,张伟,G,IN,18000.0,0.0297,,,9.7923,152000.0
688328.SH,20260804,林广满,G,IN,179741.0,0.1903,,,,602009.0
600365.SH,20260804,通化盛科信息科技有限公司,C,IN,977600.0,0.2288,977600.0,0.2288,,977600.0
688720.SH,20260804,向文胜,G,IN,15000.0,0.0192,,,,465000.0
920163.BJ,20260804,张伟,G,IN,18000.0,0.0297,,,9.7923,152000.0
688720.SH,20260804,向文胜,G,IN,15000.0,0.0192,,,,465000.0
920163.BJ,20260804,张伟,G,IN,18000.0,0.0297,,,9.7923,152000.0
688328.SH,20260804,林广满,G,IN,179741.0,0.1903,,,,602009.0
600365.SH,20260804,通化盛科信息科技有限公司,C,IN,977600.0,0.2288,977600.0,0.2288,,977600.0
688720.SH,20260804,向文胜,G,IN,15000.0,0.0192,,,,465000.0
920163.BJ,20260804,张伟,G,IN,18000.0,0.0297,,,9.7923,152000.0
688328.SH,20260804,林广满,G,IN,179741.0,0.1903,,,,602009.0
600365.SH,20260804,通化盛科信息科技有限公司,C,IN,977600.0,0.2288,977600.0,0.2288,,977600.0
688720.SH,20260804,向文胜,G,IN,15000.0,0.0192,,,,465000.0
920163.BJ,20260804,张伟,G,IN,18000.0,0.0297,,,9.7923,152000.0
688328.SH,20260804,林广满,G,IN,179741.0,0.1903,,,,602009.0
600365.SH,20260804,通化盛科信息科技有限公司,C,IN,977600.0,0.2288,977600.0,0.2288,,977600.0
688720.SH,20260804,向文胜,G,IN,15000.0,0.0192,,,,465000.0
920163.BJ,20260804,张伟,G,IN,18000.0,0.0297,,,9.7923,152000.0
688328.SH,20260804,林广满,G,IN,179741.0,0.1903,,,,602009.0
600365.SH,20260804,通化盛科信息科技有限公司,C,IN,977600.0,0.2288,977600.0,0.2288,,977600.0
688720.SH,20260804,向文胜,G,IN,15000.0,0.0192,,,,465000.0
920163.BJ,20260804,张伟,G,IN,18000.0,0.0297,,,9.7923,152000.0
